ID,fold
TRAIN_0000,2
TRAIN_0001,4
TRAIN_0002,1
TRAIN_0003,0
TRAIN_0004,0
TRAIN_0005,2
TRAIN_0006,2
TRAIN_0007,3
TRAIN_0008,4
TRAIN_0009,4
TRAIN_0010,4
TRAIN_0011,4
TRAIN_0012,2
TRAIN_0013,4
TRAIN_0014,3
TRAIN_0015,4
TRAIN_0016,4
TRAIN_0017,4
TRAIN_0018,0
TRAIN_0019,3
TRAIN_0020,1
TRAIN_0021,3
TRAIN_0022,1
TRAIN_0023,1
TRAIN_0024,3
TRAIN_0025,2
TRAIN_0026,4
TRAIN_0027,1
TRAIN_0028,4
TRAIN_0029,3
TRAIN_0030,2
TRAIN_0031,3
TRAIN_0032,1
TRAIN_0033,3
TRAIN_0034,1
TRAIN_0035,2
TRAIN_0036,0
TRAIN_0037,2
TRAIN_0038,1
TRAIN_0039,2
TRAIN_0040,2
TRAIN_0041,2
TRAIN_0042,2
TRAIN_0043,4
TRAIN_0044,4
TRAIN_0045,0
TRAIN_0046,3
TRAIN_0047,4
TRAIN_0048,4
TRAIN_0049,3
TRAIN_0050,4
TRAIN_0051,1
TRAIN_0052,2
TRAIN_0053,0
TRAIN_0054,3
TRAIN_0055,2
TRAIN_0056,2
TRAIN_0057,2
TRAIN_0058,2
TRAIN_0059,1
TRAIN_0060,3
TRAIN_0061,3
TRAIN_0062,0
TRAIN_0063,1
TRAIN_0064,1
TRAIN_0065,4
TRAIN_0066,4
TRAIN_0067,3
TRAIN_0068,3
TRAIN_0069,1
TRAIN_0070,0
TRAIN_0071,2
TRAIN_0072,0
TRAIN_0073,4
TRAIN_0074,1
TRAIN_0075,1
TRAIN_0076,0
TRAIN_0077,4
TRAIN_0078,0
TRAIN_0079,1
TRAIN_0080,2
TRAIN_0081,2
TRAIN_0082,4
TRAIN_0083,3
TRAIN_0084,4
TRAIN_0085,4
TRAIN_0086,3
TRAIN_0087,0
TRAIN_0088,4
TRAIN_0089,1
TRAIN_0090,2
TRAIN_0091,1
TRAIN_0092,4
TRAIN_0093,2
TRAIN_0094,2
TRAIN_0095,3
TRAIN_0096,1
TRAIN_0097,2
TRAIN_0098,4
TRAIN_0099,4
TRAIN_0100,4
TRAIN_0101,0
TRAIN_0102,4
TRAIN_0103,3
TRAIN_0104,1
TRAIN_0105,0
TRAIN_0106,4
TRAIN_0107,1
TRAIN_0108,3
TRAIN_0109,1
TRAIN_0110,0
TRAIN_0111,2
TRAIN_0112,1
TRAIN_0113,0
TRAIN_0114,2
TRAIN_0115,2
TRAIN_0116,3
TRAIN_0117,3
TRAIN_0118,1
TRAIN_0119,3
TRAIN_0120,2
TRAIN_0121,4
TRAIN_0122,0
TRAIN_0123,0
TRAIN_0124,0
TRAIN_0125,0
TRAIN_0126,1
TRAIN_0127,4
TRAIN_0128,3
TRAIN_0129,0
TRAIN_0130,4
TRAIN_0131,4
TRAIN_0132,2
TRAIN_0133,1
TRAIN_0134,2
TRAIN_0135,1
