class,feature,family,mean_abs_true_class_shap,rank
ACC,SOWAHC__max_residue_position,gene_max_residue_position,0.9658621788024903,1
ACC,sample__synonymous_count,sample_aggregate,0.9438510358333587,2
ACC,PLEC__synonymous,gene_synonymous,0.6939114431540171,3
ACC,LRIG1__max_residue_position,gene_max_residue_position,0.6392032613356908,4
ACC,SPRR3__synonymous,gene_synonymous,0.2974628770103057,5
ACC,PLEC__max_residue_position,gene_max_residue_position,0.29257370966176194,6
ACC,CMPK2__max_residue_position,gene_max_residue_position,0.2879463296383619,7
ACC,PTGIR__max_residue_position,gene_max_residue_position,0.23299536655346553,8
ACC,sample__nonsense_count,sample_aggregate,0.2151708945631981,9
ACC,sample__missense_count,sample_aggregate,0.2104350923250119,10
ACC,sample__mutated_gene_count,sample_aggregate,0.16985788450110703,11
ACC,KRT8__max_residue_position,gene_max_residue_position,0.1493709370183448,12
ACC,SOWAHC__synonymous,gene_synonymous,0.13047712932651243,13
ACC,sample__multi_variant_gene_count,sample_aggregate,0.12784573504080374,14
ACC,NFKB2__synonymous,gene_synonymous,0.11869976129382849,15
ACC,NFKB2__max_residue_position,gene_max_residue_position,0.1171760905534029,16
ACC,TP53__max_residue_position,gene_max_residue_position,0.09261974406739076,17
ACC,PGLS__max_residue_position,gene_max_residue_position,0.07830463756496707,18
ACC,CMPK2__synonymous,gene_synonymous,0.07362182966123025,19
ACC,PEX6__max_residue_position,gene_max_residue_position,0.06534287088240186,20
BLCA,sample__total_variant_count,sample_aggregate,0.39677007757127286,1
BLCA,sample__mutated_gene_count,sample_aggregate,0.2924515224993229,2
BLCA,CDKN1A__max_residue_position,gene_max_residue_position,0.27811974386374155,3
BLCA,sample__multi_variant_gene_count,sample_aggregate,0.24082931183899442,4
BLCA,SPTAN1__max_residue_position,gene_max_residue_position,0.17774329942961534,5
BLCA,sample__missense_count,sample_aggregate,0.174419612561663,6
BLCA,ELF3__frameshift,gene_frameshift,0.150201366096735,7
BLCA,TP53__max_residue_position,gene_max_residue_position,0.13276531547307968,8
BLCA,FGFR3__max_residue_position,gene_max_residue_position,0.11807290011396011,9
BLCA,ERCC2__max_residue_position,gene_max_residue_position,0.10791800320148467,10
BLCA,sample__frameshift_count,sample_aggregate,0.10331436494986217,11
BLCA,KMT2D__max_residue_position,gene_max_residue_position,0.09059225519498189,12
BLCA,PCLO__max_residue_position,gene_max_residue_position,0.07585834534838795,13
BLCA,hotspot__known_hotspot_total_count,fixed_hotspot,0.07066603029767672,14
BLCA,sample__total_variant_count_log1p,sample_aggregate,0.061078542936593296,15
BLCA,sample__nonsense_count,sample_aggregate,0.060447471837202706,16
BLCA,sample__synonymous_count,sample_aggregate,0.05651890605222434,17
BLCA,COL11A1__max_residue_position,gene_max_residue_position,0.0556467701215297,18
BLCA,ERBB3__max_residue_position,gene_max_residue_position,0.05345693364118536,19
BLCA,sample__multi_variant_gene_count_log1p,sample_aggregate,0.04778535086661577,20
BRCA,PIK3CA__max_residue_position,gene_max_residue_position,0.9221898843844731,1
BRCA,sample__mutated_gene_count,sample_aggregate,0.4154153207937876,2
BRCA,hotspot__PIK3CA_1047,fixed_hotspot,0.196393958106637,3
BRCA,MAP3K1__frameshift,gene_frameshift,0.15975069543346762,4
BRCA,PIK3CA__missense,gene_missense,0.14760352112352848,5
BRCA,sample__missense_count,sample_aggregate,0.13412950209652383,6
BRCA,sample__synonymous_count,sample_aggregate,0.12208503348131974,7
BRCA,sample__frameshift_count,sample_aggregate,0.11768873138353228,8
BRCA,MAP3K1__max_residue_position,gene_max_residue_position,0.11138210631906986,9
BRCA,CDH1__max_residue_position,gene_max_residue_position,0.10973854325711727,10
BRCA,CDH1__frameshift,gene_frameshift,0.09549754510323206,11
BRCA,hotspot__known_hotspot_total_count,fixed_hotspot,0.08975972458720208,12
BRCA,TP53__max_residue_position,gene_max_residue_position,0.08719485594580571,13
BRCA,sample__mutated_gene_count_log1p,sample_aggregate,0.08156526880338788,14
BRCA,MAP3K1__mutated,gene_mutated,0.05422780133473377,15
BRCA,CDH1__mutated,gene_mutated,0.03931611652175585,16
BRCA,sample__total_variant_count,sample_aggregate,0.03550391194100181,17
BRCA,PIK3CA__mutated,gene_mutated,0.028677377897111,18
BRCA,CTCF__max_residue_position,gene_max_residue_position,0.027718676580116154,19
BRCA,sample__multi_variant_gene_count,sample_aggregate,0.023879409682316086,20
CESC,TP53__max_residue_position,gene_max_residue_position,0.2777752737204234,1
CESC,sample__frameshift_count,sample_aggregate,0.2095429167151451,2
CESC,sample__multi_variant_gene_count,sample_aggregate,0.1993052459632357,3
CESC,sample__nonsense_count,sample_aggregate,0.1267854396253824,4
CESC,sample__synonymous_count,sample_aggregate,0.12262506894767285,5
CESC,sample__total_variant_count,sample_aggregate,0.10905722752213479,6
CESC,ABCA2__max_residue_position,gene_max_residue_position,0.09711304016333694,7
CESC,PIK3CA__max_residue_position,gene_max_residue_position,0.08671646403769652,8
CESC,TP53__mutated,gene_mutated,0.07585725635290146,9
CESC,sample__mutated_gene_count,sample_aggregate,0.056091671561201414,10
CESC,sample__missense_count,sample_aggregate,0.04533806247636676,11
CESC,sample__multi_variant_gene_count_log1p,sample_aggregate,0.04064434077590704,12
CESC,SH2B1__missense,gene_missense,0.036395010290046534,13
CESC,HELZ2__max_residue_position,gene_max_residue_position,0.036176231348266204,14
CESC,ERBB3__max_residue_position,gene_max_residue_position,0.03447668255927662,15
CESC,DST__max_residue_position,gene_max_residue_position,0.029258168768137693,16
CESC,LATS1__max_residue_position,gene_max_residue_position,0.029095209816781185,17
CESC,FBXW7__max_residue_position,gene_max_residue_position,0.022067014314234256,18
CESC,sample__total_variant_count_log1p,sample_aggregate,0.018381242997323473,19
CESC,USP8__max_residue_position,gene_max_residue_position,0.01729575915572544,20
COAD,APC__max_residue_position,gene_max_residue_position,2.0487946768601737,1
COAD,APC__nonsense,gene_nonsense,0.7325722575187683,2
COAD,APC__mutated,gene_mutated,0.27935314575831094,3
COAD,hotspot__known_hotspot_total_count,fixed_hotspot,0.1716421887278557,4
COAD,APC__frameshift,gene_frameshift,0.12880807866652808,5
COAD,sample__synonymous_count,sample_aggregate,0.12496573524549603,6
COAD,TP53__max_residue_position,gene_max_residue_position,0.11392476243587832,7
COAD,hotspot__BRAF_600,fixed_hotspot,0.11238268992553155,8
COAD,sample__total_variant_count,sample_aggregate,0.10955691263079644,9
COAD,sample__mutated_gene_count,sample_aggregate,0.08520220158000787,10
COAD,sample__missense_count,sample_aggregate,0.06997482739388942,11
COAD,APC__missense,gene_missense,0.059186410376181206,12
COAD,sample__frameshift_count,sample_aggregate,0.0546790862766405,13
COAD,TCF7L2__max_residue_position,gene_max_residue_position,0.04492421176594993,14
COAD,FBXW7__max_residue_position,gene_max_residue_position,0.04367553070187569,15
COAD,CDH8__missense,gene_missense,0.04260959716824194,16
COAD,SAMD9L__max_residue_position,gene_max_residue_position,0.04213278172537684,17
COAD,PRKDC__max_residue_position,gene_max_residue_position,0.03505461386715372,18
COAD,COL1A1__max_residue_position,gene_max_residue_position,0.030064727268957845,19
COAD,PCLO__max_residue_position,gene_max_residue_position,0.029741272578636804,20
DLBC,BTG2__max_residue_position,gene_max_residue_position,0.8547021701931954,1
