feature,family,mean_abs_shap,share,rank
sample__mutated_gene_count,sample_aggregate,0.37177453942748845,0.1178277432016013,1
sample__total_variant_count,sample_aggregate,0.2621601237028084,0.08308728128860833,2
sample__synonymous_count,sample_aggregate,0.19946883842718807,0.06321832341481383,3
sample__missense_count,sample_aggregate,0.18604185819263622,0.05896286584236669,4
TP53__max_residue_position,gene_max_residue_position,0.17949091120947974,0.056886652393088204,5
hotspot__known_hotspot_total_count,fixed_hotspot,0.0969540461622605,0.03072796881452707,6
sample__frameshift_count,sample_aggregate,0.09393082415235247,0.029769808992250294,7
sample__mutated_gene_count_log1p,sample_aggregate,0.07562433812535413,0.023967873394846184,8
sample__multi_variant_gene_count,sample_aggregate,0.07374499918868131,0.023372248245366992,9
TP53__mutated,gene_mutated,0.06497320835669831,0.020592175357210966,10
hotspot__IDH1_132,fixed_hotspot,0.05663420771423305,0.017949268105489316,11
sample__total_variant_count_log1p,sample_aggregate,0.05234234545372658,0.0165890339026137,12
sample__nonsense_count,sample_aggregate,0.05109172612295416,0.01619267095216493,13
PTEN__max_residue_position,gene_max_residue_position,0.04025960563914915,0.012759610924278006,14
VHL__max_residue_position,gene_max_residue_position,0.035078512051286294,0.011117549674698444,15
hotspot__BRAF_600,fixed_hotspot,0.03185621341758947,0.01009629583489871,16
APC__max_residue_position,gene_max_residue_position,0.03178474429083684,0.010073644886485676,17
PIK3CA__max_residue_position,gene_max_residue_position,0.029450624498860035,0.009333884525611208,18
KMT2D__max_residue_position,gene_max_residue_position,0.022351017537423187,0.0070837824417711165,19
BRAF__max_residue_position,gene_max_residue_position,0.020746446065318887,0.006575240260117508,20
IDH1__max_residue_position,gene_max_residue_position,0.019696753570261558,0.006242557721020754,21
CTNNB1__max_residue_position,gene_max_residue_position,0.016890408877021163,0.005353133549157044,22
sample__multi_variant_gene_count_log1p,sample_aggregate,0.015256194533577638,0.004835196553546312,23
VHL__mutated,gene_mutated,0.013547372578804489,0.00429361391915093,24
PIK3CA__missense,gene_missense,0.012561551366687403,0.0039811743185185185,25
RYR2__max_residue_position,gene_max_residue_position,0.011913432241487033,0.0037757637652144765,26
PCLO__max_residue_position,gene_max_residue_position,0.01190752231837722,0.0037738907135966963,27
PLEC__synonymous,gene_synonymous,0.011708969267070083,0.0037109626336444246,28
PLEC__max_residue_position,gene_max_residue_position,0.011234240719945585,0.0035605053338325734,29
CDKN2A__max_residue_position,gene_max_residue_position,0.010819091648280644,0.003428930755643739,30
EGFR__max_residue_position,gene_max_residue_position,0.010722570277866692,0.003398339916195413,31
APC__nonsense,gene_nonsense,0.010220251334734106,0.0032391383002701515,32
