class,feature,family,mean_abs_true_class_shap,rank
ACC,SOWAHC__max_residue_position,gene_max_residue_position,0.9797771995266279,1
ACC,sample__synonymous_count,sample_aggregate,0.8995047907034556,2
ACC,PLEC__synonymous,gene_synonymous,0.6984316470722357,3
ACC,LRIG1__max_residue_position,gene_max_residue_position,0.6237518104414145,4
ACC,PLEC__max_residue_position,gene_max_residue_position,0.30062235438575347,5
ACC,CMPK2__max_residue_position,gene_max_residue_position,0.28157821216930945,6
ACC,PTGIR__max_residue_position,gene_max_residue_position,0.2371110662817955,7
ACC,SPRR3__synonymous,gene_synonymous,0.2363972988910973,8
ACC,sample__nonsense_count,sample_aggregate,0.20841073368986449,9
ACC,sample__missense_count,sample_aggregate,0.18899064461390178,10
ACC,KRT8__max_residue_position,gene_max_residue_position,0.14814309080441793,11
ACC,sample__mutated_gene_count,sample_aggregate,0.1442241853704521,12
ACC,NFKB2__synonymous,gene_synonymous,0.1295974745415151,13
ACC,sample__multi_variant_gene_count,sample_aggregate,0.12804037171105545,14
ACC,SOWAHC__synonymous,gene_synonymous,0.10430955365300179,15
ACC,SPRR3__max_residue_position,gene_max_residue_position,0.09340493873072167,16
ACC,NFKB2__max_residue_position,gene_max_residue_position,0.09336664409687122,17
ACC,PGLS__max_residue_position,gene_max_residue_position,0.08544593611732125,18
ACC,sample__pathway_pi3k__mutated_gene_count,fixed_pathway,0.0709078484835724,19
ACC,PGLS__synonymous,gene_synonymous,0.06644045366750409,20
BLCA,sample__total_variant_count,sample_aggregate,0.415487263041238,1
BLCA,sample__mutated_gene_count,sample_aggregate,0.2932040303945541,2
BLCA,sample__multi_variant_gene_count,sample_aggregate,0.2298527822519342,3
BLCA,CDKN1A__max_residue_position,gene_max_residue_position,0.20720219363768896,4
BLCA,sample__missense_count,sample_aggregate,0.1752227516223987,5
BLCA,SPTAN1__max_residue_position,gene_max_residue_position,0.17441768323381743,6
BLCA,ELF3__frameshift,gene_frameshift,0.15310667591790358,7
BLCA,TP53__max_residue_position,gene_max_residue_position,0.10882665595660607,8
BLCA,FGFR3__max_residue_position,gene_max_residue_position,0.10259944113592306,9
BLCA,sample__frameshift_count,sample_aggregate,0.10042434179534515,10
BLCA,ERCC2__max_residue_position,gene_max_residue_position,0.0917337632427613,11
BLCA,KMT2D__max_residue_position,gene_max_residue_position,0.0780501534541448,12
BLCA,PCLO__max_residue_position,gene_max_residue_position,0.07284344993531704,13
BLCA,sample__total_variant_count_log1p,sample_aggregate,0.06804076184829076,14
BLCA,hotspot__known_hotspot_total_count,fixed_hotspot,0.06778671854796509,15
BLCA,CDKN1A__mutated,gene_mutated,0.06272542535637816,16
BLCA,sample__synonymous_count,sample_aggregate,0.060649007372558114,17
BLCA,COL11A1__max_residue_position,gene_max_residue_position,0.05908043418700496,18
BLCA,sample__nonsense_count,sample_aggregate,0.04807460966209571,19
BLCA,sample__pathway_cell_cycle__mutated_gene_count,fixed_pathway,0.04769102353602648,20
BRCA,PIK3CA__max_residue_position,gene_max_residue_position,0.763604919364055,1
BRCA,sample__mutated_gene_count,sample_aggregate,0.40254440108935036,2
BRCA,hotspot__PIK3CA_1047,fixed_hotspot,0.20959316963950794,3
BRCA,PIK3CA__missense,gene_missense,0.18050459921360015,4
BRCA,MAP3K1__frameshift,gene_frameshift,0.1583470863600572,5
BRCA,sample__missense_count,sample_aggregate,0.14568646003802618,6
BRCA,MAP3K1__max_residue_position,gene_max_residue_position,0.12799367206171156,7
BRCA,sample__frameshift_count,sample_aggregate,0.11989463058610757,8
BRCA,sample__synonymous_count,sample_aggregate,0.10549913458526135,9
BRCA,CDH1__frameshift,gene_frameshift,0.09635230405256152,10
BRCA,CDH1__max_residue_position,gene_max_residue_position,0.09259917624294758,11
BRCA,sample__pathway_wnt__mutated_gene_count,fixed_pathway,0.08905148276438316,12
BRCA,hotspot__known_hotspot_total_count,fixed_hotspot,0.07781952445705732,13
BRCA,sample__mutated_gene_count_log1p,sample_aggregate,0.07207709004481634,14
BRCA,TP53__max_residue_position,gene_max_residue_position,0.05864244593928258,15
BRCA,CDH1__mutated,gene_mutated,0.05670923370247086,16
BRCA,sample__pathway_pi3k__mutated_gene_count,fixed_pathway,0.049083421224107346,17
BRCA,PIK3CA__mutated,gene_mutated,0.04851810726492355,18
BRCA,sample__total_variant_count,sample_aggregate,0.03762896858776609,19
BRCA,sample__pathway_rtk_ras__mutated_gene_count,fixed_pathway,0.03590933599819739,20
CESC,TP53__max_residue_position,gene_max_residue_position,0.23826738844315212,1
CESC,sample__multi_variant_gene_count,sample_aggregate,0.20646990649402142,2
CESC,sample__frameshift_count,sample_aggregate,0.1953423522412777,3
CESC,sample__nonsense_count,sample_aggregate,0.14457347666223844,4
CESC,sample__synonymous_count,sample_aggregate,0.11713430260618528,5
CESC,sample__total_variant_count,sample_aggregate,0.10455409167334437,6
CESC,ABCA2__max_residue_position,gene_max_residue_position,0.09289632179619124,7
CESC,PIK3CA__max_residue_position,gene_max_residue_position,0.07931910629073778,8
