family,feature_count,total_mean_abs_shap,total_share,mean_per_feature
sample_aggregate,12,1.3231664104260186,0.4192374198433982,0.11026386753550155
gene_max_residue_position,4384,1.0053693837856945,0.31854531911232203,0.00022932695798031348
fixed_pathway,64,0.3055824271142364,0.09682197740464693,0.004774725423659942
fixed_hotspot,35,0.19245691078623528,0.060978829324328326,0.005498768879606723
gene_mutated,4384,0.15450618130704347,0.04895436604997078,3.524319829084015e-05
gene_missense,4384,0.10527249052545551,0.03335496348805493,2.4012885612558284e-05
gene_synonymous,4384,0.04378661388962831,0.013873528594832221,9.987822511320342e-06
gene_frameshift,4384,0.015271823289667901,0.004838786521344111,3.4835363343220564e-06
gene_nonsense,4384,0.010714449380587373,0.0033948096611021846,2.4439893660098933e-06
gene_complex,4384,0.0,0.0,0.0
gene_missing,4384,0.0,0.0,0.0
