feature,family,mean_abs_shap,share,rank
sample__mutated_gene_count,sample_aggregate,0.3553177878999416,0.11258033112832272,1
sample__total_variant_count,sample_aggregate,0.24668685563618134,0.07816126531877073,2
sample__synonymous_count,sample_aggregate,0.1877732400075397,0.05949483605093194,3
sample__missense_count,sample_aggregate,0.17854689321502448,0.056571522858127186,4
TP53__max_residue_position,gene_max_residue_position,0.12302812864751567,0.038980731989515675,5
sample__frameshift_count,sample_aggregate,0.09137609392751693,0.02895197274635027,6
hotspot__known_hotspot_total_count,fixed_hotspot,0.08890258039132089,0.028168254670761676,7
sample__mutated_gene_count_log1p,sample_aggregate,0.07301566180410336,0.02313457885698194,8
sample__multi_variant_gene_count,sample_aggregate,0.06895613568315064,0.02184834211206099,9
sample__pathway_cell_cycle__mutated_gene_count,fixed_pathway,0.06223789371620016,0.01971970703946939,10
hotspot__IDH1_132,fixed_hotspot,0.05798804720811276,0.018373168410055884,11
sample__total_variant_count_log1p,sample_aggregate,0.054377994104748466,0.017229344521672255,12
sample__nonsense_count,sample_aggregate,0.047957945171508934,0.015195190141065575,13
sample__pathway_tp53__mutated_gene_count,fixed_pathway,0.044716896281734364,0.014168283046516583,14
VHL__max_residue_position,gene_max_residue_position,0.03366732628591733,0.010667292408510684,15
PTEN__max_residue_position,gene_max_residue_position,0.03258672403713732,0.01032491000287688,16
hotspot__BRAF_600,fixed_hotspot,0.031024377206620886,0.009829889687242256,17
sample__pathway_pi3k__mutated_gene_count,fixed_pathway,0.03038565003057583,0.009627512774437484,18
TP53__mutated,gene_mutated,0.02691737852071668,0.008528611542020646,19
sample__pathway_wnt__mutated_gene_count,fixed_pathway,0.026441985070906972,0.008377985950456161,20
sample__pathway_rtk_ras__mutated_gene_count,fixed_pathway,0.02440843740090071,0.007733668446940115,21
PIK3CA__max_residue_position,gene_max_residue_position,0.02181348176711623,0.006911472163884816,22
KMT2D__max_residue_position,gene_max_residue_position,0.021475017307113854,0.006804231709621471,23
sample__pathway_wnt__lof_gene_count,fixed_pathway,0.02115609384454657,0.006703182704356002,24
