SUBCLASS,mutated_gene_count_count,mutated_gene_count_median,mutated_gene_count_mean,mutated_gene_count_std,mutated_gene_count_min,mutated_gene_count_max,total_variant_count_count,total_variant_count_median,total_variant_count_mean,total_variant_count_std,total_variant_count_min,total_variant_count_max,missense_count_count,missense_count_median,missense_count_mean,missense_count_std,missense_count_min,missense_count_max,nonsense_count_count,nonsense_count_median,nonsense_count_mean,nonsense_count_std,nonsense_count_min,nonsense_count_max,frameshift_count_count,frameshift_count_median,frameshift_count_mean,frameshift_count_std,frameshift_count_min,frameshift_count_max,complex_count_count,complex_count_median,complex_count_mean,complex_count_std,complex_count_min,complex_count_max,truncating_count_count,truncating_count_median,truncating_count_mean,truncating_count_std,truncating_count_min,truncating_count_max
ACC,72,24.0,39.430556,57.972754,10,396,72,26.0,43.611111,70.574814,10,505,72,13.0,24.513889,46.452154,4,340,72,0.0,1.277778,3.045302,0,21,72,1.0,2.333333,5.090726,0,32,72,0.0,0.069444,0.306106,0,2,72,1.5,3.611111,7.457968,0,44
BLCA,104,54.0,70.490385,60.523123,3,382,104,57.0,75.923077,66.951032,4,427,104,37.0,49.153846,42.023518,4,249,104,3.0,4.384615,5.26632,0,33,104,2.0,2.028846,1.754089,0,8,104,0.0,0.144231,0.404304,0,2,104,5.0,6.413462,5.935921,0,40
BRCA,786,9.0,17.437659,50.690537,0,853,786,10.0,19.510178,63.900325,0,1135,786,6.0,12.657761,43.81933,0,803,786,0.0,1.072519,5.402154,0,127,786,1.0,1.391858,2.795198,0,47,786,0.0,0.013995,0.117544,0,1,786,1.0,2.464377,6.4151,0,133
CESC,155,20.0,44.129032,75.115989,0,480,155,21.0,48.677419,85.832057,0,567,155,13.0,32.483871,58.0081,0,368,155,1.0,3.393548,6.770349,0,49,155,0.0,0.625806,1.105761,0,7,155,0.0,0.103226,0.380945,0,3,155,2.0,4.019355,7.017114,0,50
COAD,223,23.0,73.121076,171.479226,5,1631,223,24.0,86.412556,250.517051,5,2752,223,15.0,56.977578,170.318844,2,1843,223,2.0,6.152466,24.505268,0,307,223,1.0,2.609865,5.618125,0,40,223,0.0,0.026906,0.162172,0,1,223,3.0,8.762332,25.946446,0,317
DLBC,38,30.0,67.421053,119.221944,3,704,38,33.5,78.657895,152.385407,3,915,38,21.0,43.131579,68.121184,2,396,38,1.0,1.578947,1.368202,0,5,38,1.0,1.526316,1.465584,0,5,38,0.0,0.026316,0.162221,0,1,38,3.0,3.105263,2.19076,0,9
GBMLGG,461,11.0,12.535792,8.319263,0,121,461,12.0,12.863341,8.764105,0,134,461,8.0,8.542299,5.347577,0,65,461,0.0,0.668113,0.909158,0,6,461,0.0,0.691974,0.960367,0,8,461,0.0,0.002169,0.046575,0,1,461,1.0,1.360087,1.422051,0,14
HNSC,223,31.0,40.569507,39.260775,1,386,223,32.0,42.506726,43.851394,1,455,223,21.0,27.793722,28.848666,0,284,223,2.0,2.439462,2.761489,0,19,223,1.0,1.641256,2.136449,0,23,223,0.0,0.067265,0.268387,0,2,223,3.0,4.080717,3.944746,0,32
KIPAN,515,15.0,16.042718,13.422284,0,246,515,15.0,16.502913,14.222574,0,262,515,9.0,10.405825,9.374419,0,170,515,0.0,0.702913,1.007313,0,12,515,1.0,1.516505,1.801755,0,16,515,0.0,0.027184,0.174321,0,2,515,2.0,2.219417,2.188672,0,18
KIRC,334,13.0,13.329341,6.844864,0,35,334,13.0,13.613772,7.050052,0,35,334,8.0,8.571856,4.847765,0,25,334,0.0,0.670659,0.837866,0,4,334,1.0,1.230539,1.345941,0,6,334,0.0,0.023952,0.171623,0,2,334,2.0,1.901198,1.679893,0,9
