class,support,exp374_f1,exp527_f1,f1_delta
ACC,72,0.8656716417910447,0.7638888888888888,-0.10178275290215588
BLCA,104,0.4942528735632184,0.4424778761061947,-0.051774997457023686
SARC,198,0.24228028503562946,0.19501133786848074,-0.04726894716714872
BRCA,786,0.5403158769742311,0.4977618621307073,-0.042554014843523835
LAML,158,0.541095890410959,0.5015290519877675,-0.03956683842319142
GBMLGG,461,0.31978319783197834,0.2848575712143928,-0.034925626617585526
LUAD,184,0.36923076923076925,0.334384858044164,-0.03484591118660524
DLBC,38,0.4642857142857143,0.4411764705882353,-0.02310924369747902
THYM,98,0.3146853146853147,0.291970802919708,-0.022714511765606682
KIPAN,515,0.22149837133550487,0.2109181141439206,-0.010580257191584286
THCA,324,0.6996336996336996,0.6901669758812616,-0.009466723752437955
PCPG,147,0.2987551867219917,0.2962962962962963,-0.0024588904256954147
UCEC,198,0.6205250596658711,0.6211764705882353,0.000651410922364204
OV,253,0.38248175182481753,0.401673640167364,0.01919188834254648
PRAD,266,0.31098430813124106,0.33951497860199714,0.02853067047075608
HNSC,223,0.31100478468899523,0.34285714285714286,0.03185235816814763
LUSC,178,0.4752475247524752,0.5141388174807198,0.03889129272824454
COAD,223,0.714975845410628,0.7547169811320755,0.03974113572144755
STES,379,0.42696629213483145,0.47575757575757577,0.04879128362274432
LIHC,158,0.2983050847457627,0.36303630363036304,0.06473121888460032
TGCT,124,0.33569739952718675,0.40572792362768495,0.0700305241004982
LGG,229,0.4186046511627907,0.4888888888888889,0.07028423772609815
KIRC,334,0.17595307917888564,0.2812903225806452,0.10533724340175954
PAAD,120,0.24066390041493776,0.3536977491961415,0.11303384878120373
SKCM,276,0.75,0.8766603415559773,0.12666034155597727
CESC,155,0.26366559485530544,0.4491017964071856,0.18543620155188018
