profile_class,train_mean,test_mean,mean_delta_test_minus_train,standardized_mean_difference,train_std,test_std,train_p01,test_p01,train_p10,test_p10,train_p50,test_p50,train_p90,test_p90,train_p99,test_p99
ACC,0.507598418753307,0.552559539936161,0.044961121182854,0.24981792527215857,0.1877745821898895,0.17182290652924023,0.0,0.0,0.25920262932777405,0.32262948155403137,0.5193407535552979,0.5737524926662445,0.7464829087257385,0.7470142841339111,0.8690679669380188,0.8999036580324181
STES,0.5231938514440593,0.5687647978157233,0.045570946371664034,0.24812855584288324,0.18874761290063743,0.17842452399728295,0.0,0.0,0.2693634629249573,0.3337702453136444,0.5392898917198181,0.5899682343006134,0.7489935755729675,0.7591962516307831,0.9215895533561707,0.9227517902851109
PCPG,0.5043271900898236,0.5467238879088789,0.04239669781905531,0.24360969475040525,0.18010467694655863,0.16774656338053676,0.0,0.0,0.26620763540267944,0.32769982516765594,0.5169366002082825,0.5676924586296082,0.7283175587654114,0.7296720445156097,0.8668392896652222,0.8747661262750629
TGCT,0.5073646943625877,0.5507122537868594,0.04334755942427171,0.2435868374693329,0.1853994248372685,0.1701857915615775,0.0,0.0,0.2643096446990967,0.3235827684402466,0.5179039239883423,0.5734354853630066,0.7445696592330933,0.7420275807380676,0.8692307472229004,0.8831131726503375
KIPAN,0.5261989639617628,0.5697342157861949,0.043535251824432075,0.24205074249399425,0.1882780064354806,0.17102820581607556,0.0,0.0,0.2769855856895447,0.33557796478271484,0.535697877407074,0.5943271517753601,0.7718520760536194,0.7664894759654999,0.8786752223968506,0.9028487771749497
LIHC,0.5196019874884852,0.5624585943464819,0.04285660685799675,0.2400517243677525,0.18696144971054948,0.16968161746640595,0.0,0.0,0.2734958529472351,0.3289004862308502,0.5291231870651245,0.585433155298233,0.7648779153823853,0.7547977566719055,0.8743578195571899,0.9004842102527619
GBMLGG,0.5044385697600079,0.5481639064386877,0.04372533667867984,0.2398629298037283,0.185851760226813,0.17866339835279735,0.0,0.0,0.2415728121995926,0.3076159954071045,0.5253530144691467,0.5714837610721588,0.7199364900588989,0.7530799210071564,0.9073368310928345,0.9134092807769776
DLBC,0.5169538334777996,0.5593821083276714,0.04242827484987188,0.23566280537887332,0.18772175587649556,0.17201148265362104,0.0,0.0,0.26958486437797546,0.32965122163295746,0.5277359485626221,0.5803069472312927,0.7596542239189148,0.7557818591594696,0.8770081400871277,0.9050276666879657
THYM,0.5070886084011794,0.5483115005518331,0.04122289215065367,0.23221067603888423,0.18352457186194102,0.1713126982063214,0.0,0.0,0.2601391673088074,0.3204779177904129,0.5205932855606079,0.5704688727855682,0.731535017490387,0.7381504476070404,0.8789864778518677,0.8774405479431152
KIRC,0.5222090840990881,0.5634013239970286,0.04119223989794052,0.22981609125143934,0.18856775368333004,0.16939943630395735,0.0,0.0,0.27371078729629517,0.33101746439933777,0.5308804512023926,0.5869969129562378,0.769947350025177,0.7613148391246796,0.8712790608406067,0.8966090202331544
PRAD,0.49720376958124973,0.5370080685894132,0.03980429900816346,0.22895551577550766,0.18265481711934292,0.16457832427169328,0.0,0.0,0.25822901725769043,0.3180379420518875,0.5045516490936279,0.5586555600166321,0.7422237396240234,0.7282907664775848,0.8439674377441406,0.8607022553682327
LGG,0.4678487255627137,0.5082569984120711,0.040408272849357385,0.22751553094201293,0.18072753846206122,0.17442994585308996,0.0,0.0,0.20536507666110992,0.2657019942998886,0.48986339569091797,0.5325132310390472,0.6798532009124756,0.7096212804317474,0.8523896336555481,0.8583844333887101
OV,0.5299900538680651,0.5707084216044496,0.040718367736384486,0.22738124207739058,0.18714938733719225,0.17061958941120894,0.0,0.0,0.28156763315200806,0.33878928422927856,0.5392979979515076,0.5949379205703735,0.7742264866828918,0.76509690284729,0.8792122006416321,0.8841569453477862
COAD,0.5122867907299042,0.5538430107349218,0.041556220005017575,0.227230787654337,0.18769043563133767,0.177941859752793,0.0,0.0,0.25784778594970703,0.3202136158943176,0.5296680927276611,0.5777086913585663,0.7401248216629028,0.7542666494846344,0.8989486694335938,0.9066550076007843
PAAD,0.5097268971696693,0.5510918664755498,0.041364969305880406,0.2262900002803157,0.18792569256212907,0.17751870600082845,0.0,0.0,0.24984966218471527,0.32180483639240265,0.5261309146881104,0.5729760825634003,0.736545979976654,0.7456450164318085,0.9133973121643066,0.9139623463153844
LAML,0.46952242226623886,0.5072170208879138,0.0376945986216749,0.21771222449976033,0.17672676255305103,0.16947644509661355,0.0,0.0,0.21398240327835083,0.2730218470096588,0.48796212673187256,0.5287501811981201,0.6776746511459351,0.7063747942447662,0.8312496542930603,0.843523329496384
UCEC,0.5092988396033855,0.5470416230995567,0.03774278349617122,0.20845037930480056,0.1871161336203947,0.1748016954510951,0.0,0.0,0.2573813199996948,0.3120775669813156,0.5227521657943726,0.5700241327285767,0.7437496781349182,0.7456577122211456,0.8746645450592041,0.8849033892154696
SARC,0.5258205470418134,0.5611586923287042,0.03533814528689083,0.1931785985142236,0.19287797001599824,0.17240881318915782,0.0,0.0,0.27518054842948914,0.33448222279548645,0.5327314138412476,0.5830164551734924,0.7829759120941162,0.7660666704177856,0.8900307416915894,0.8742915898561479
LUAD,0.5211496566825597,0.5552598100677609,0.03411015338520118,0.18729712061877127,0.1933834003295657,0.17010790818715954,0.0,0.0,0.266448438167572,0.3252946138381958,0.5273879170417786,0.5772639513015747,0.7822152376174927,0.7599433958530426,0.8813683390617371,0.8754846751689911
BRCA,0.5156897060401219,0.5485205274395435,0.03283082139942162,0.1815208295136177,0.19189002017432197,0.169123452152332,0.0,0.0,0.26531776785850525,0.32341834902763367,0.5190619230270386,0.5696622729301453,0.7797386646270752,0.7534611225128174,0.8708112239837646,0.8558941990137102
LUSC,0.5234295797326726,0.55653744588042,0.03310786614774741,0.18057674204356458,0.19481608297540612,0.17110688708747776,0.0,0.0,0.2676960229873657,0.32574494183063507,0.5289559364318848,0.5784266889095306,0.7897843718528748,0.7628924250602722,0.8823087215423584,0.8706689506769186
HNSC,0.5216384466280587,0.5519493328440809,0.03031088621602218,0.16501104562297417,0.19521620913613535,0.17139047859610052,0.0,0.0,0.26827481389045715,0.3216354101896286,0.525252103805542,0.5718958675861359,0.7918354868888855,0.7625364363193512,0.878706693649292,0.856791752576828
THCA,0.4213134629594532,0.4442540256075893,0.022940562648136098,0.15956001679854936,0.1508896143150968,0.13628712784636618,0.0,0.0,0.2216944396495819,0.2723151445388794,0.4301674962043762,0.4583173394203186,0.6166311502456665,0.6052309572696686,0.6935348510742188,0.7152253597974777
SKCM,0.4576909548469282,0.4757476587416531,0.018056703894724913,0.10128552619158705,0.19227352456549546,0.16307983036971574,0.0,0.0,0.21407325565814972,0.275368332862854,0.4542180895805359,0.4856910705566406,0.7021251320838928,0.6616261303424835,0.95232754945755,0.9047435879707338
BLCA,0.4711492985929319,0.48795909634136536,0.01680979774843344,0.09251015637135243,0.19627409119649333,0.1658667510240463,0.0,0.0,0.22076678276062012,0.2682024985551834,0.46375662088394165,0.49713262915611267,0.7434848546981812,0.6867228746414185,0.8982081413269043,0.8560047864913946
CESC,0.4581872872029619,0.4734764269173426,0.015289139714380673,0.08460005323501359,0.1946446747107892,0.1656343894254177,0.0,0.0,0.2106820046901703,0.25601761043071747,0.45158955454826355,0.48317666351795197,0.7264772653579712,0.6673095226287842,0.8979182839393616,0.8466227054595965
