family,feature_count,gain,gain_share,split_count,split_share,permutation_macro_f1_delta_mean,permutation_macro_f1_delta_std,permutation_macro_f1_delta_min,permutation_macro_f1_delta_max,permutation_evaluations
class_cosine,26,937618.1849004442,0.46067073939148434,178529,0.5454831554053642,0.20361231479665234,0.013476753551866194,0.1841277005351043,0.2296094591972527,15
sample_aggregate,12,251174.2236700338,0.12340696586046097,32266,0.098586557322953,0.09154554548184564,0.011228360526041344,0.0663241722676674,0.10945917696450469,15
gene_mutated,4384,210504.18683383102,0.10342495586734035,22285,0.0680902941158474,0.06314780238928679,0.009915602857081488,0.05057819001068481,0.09197809447086419,15
fixed_hotspot,35,102465.01200828276,0.050343128582371596,4519,0.01380749558490128,0.036481781745940335,0.009423366251650923,0.021722582116306455,0.05288408829336555,15
fixed_pathway,64,111432.30672169477,0.054748941473476614,11599,0.03543995160196282,0.03512939934537736,0.007061285763862343,0.019518262220716842,0.04615398869696624,15
gene_max_residue_position,4384,280405.0668597926,0.13776866912317354,60888,0.18603912174673085,0.03389608296388983,0.004853430517541663,0.026547317575942975,0.04247331393026438,15
gene_missense,4384,72205.70194585714,0.03547611878625318,11974,0.03658573846727441,0.0136713640703284,0.004234263009308792,0.005040387078880215,0.02115222461520805,15
gene_synonymous,4384,45781.12978152558,0.022493193120899403,2735,0.008356605537664251,0.008630356652273555,0.0038670532057770955,0.0011599455682603232,0.015573150538165936,15
gene_frameshift,4384,17123.4729436785,0.008413107882236759,1694,0.005175901199562463,0.0033538874344231826,0.0025911325759137996,-0.0016690421146670076,0.006419498633066845,15
gene_nonsense,4384,6623.338540546596,0.0032541799123037346,797,0.002435179017739835,0.0019961571957179958,0.004224182654250891,-0.0031396819851292612,0.010044054894969068,15
gene_complex,4384,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,15
gene_missing,4384,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,15
