feature,family,gain,gain_share,split_count,split_share
sample__parser_v4_class_profile_cosine__SKCM,class_cosine,104294.40139046905,0.05124194451075099,11688,0.03571188501799649
sample__parser_v4_class_profile_cosine__CESC,class_cosine,67016.27119315369,0.03292644671251588,9240,0.028232188361249792
sample__total_variant_count,sample_aggregate,56299.69632810168,0.027661177174946174,4777,0.014595796948234877
sample__mutated_gene_count,sample_aggregate,55307.799949686276,0.027173838463514424,5898,0.018020935817602952
hotspot__IDH1_132,fixed_hotspot,52662.985308378935,0.025874387646555447,648,0.001979919703256479
sample__parser_v4_class_profile_cosine__BLCA,class_cosine,47609.78438515391,0.02339164803774232,8000,0.0244434531266232
sample__parser_v4_class_profile_cosine__LAML,class_cosine,47120.02995572984,0.02315102180122474,9514,0.029069376630836637
sample__parser_v4_class_profile_cosine__TGCT,class_cosine,42308.367803019006,0.020786955065651903,7891,0.024110411077772956
sample__parser_v4_class_profile_cosine__PRAD,class_cosine,42185.6009849966,0.020726637249997414,7997,0.024434286831700715
sample__parser_v4_class_profile_cosine__THCA,class_cosine,41445.59130536567,0.020363055557830648,11082,0.033860293443654786
sample__parser_v4_class_profile_cosine__LGG,class_cosine,41116.043751564226,0.020201142192967224,9539,0.029145762421857336
sample__parser_v4_class_profile_cosine__LUAD,class_cosine,37070.65626979264,0.018213561669930923,5074,0.015503260145560763
sample__parser_v4_class_profile_cosine__PAAD,class_cosine,36008.692395234044,0.01769179738338192,6828,0.0208624872435729
sample__parser_v4_class_profile_cosine__COAD,class_cosine,35873.0625011455,0.01762515967882418,6560,0.020043631563831023
sample__frameshift_count,sample_aggregate,35117.392924674554,0.01725388396325614,4900,0.014971615040056709
sample__parser_v4_class_profile_cosine__LIHC,class_cosine,34722.68694247934,0.01705995694734676,5367,0.01639850161632334
VHL__mutated,gene_mutated,33145.10004392266,0.01628485666162695,743,0.0022701857091351296
sample__pathway_wnt__lof_gene_count,fixed_pathway,32340.81306720525,0.015889694236010502,333,0.0010174587363956907
sample__parser_v4_class_profile_cosine__UCEC,class_cosine,32073.020499002538,0.015758122342051782,6668,0.020373618181040436
sample__synonymous_count,sample_aggregate,31072.57553673559,0.01526658353882674,4638,0.014171091950159798
sample__parser_v4_class_profile_cosine__KIRC,class_cosine,30906.494528825977,0.015184984587414841,5189,0.015854634784255972
sample__parser_v4_class_profile_cosine__GBMLGG,class_cosine,30564.408712027827,0.0150169109208653,6873,0.020999981667410156
sample__parser_v4_class_profile_cosine__BRCA,class_cosine,28370.046074958926,0.01393877626563897,5630,0.017202080137861075
sample__parser_v4_class_profile_cosine__PCPG,class_cosine,28138.087931089103,0.013824810547647127,7764,0.023722371259387812
sample__missense_count,sample_aggregate,28034.244651067595,0.013773790248170508,5168,0.015790470719798586
sample__parser_v4_class_profile_cosine__ACC,class_cosine,27558.270826518885,0.013539934700979805,7272,0.022219098892100487
sample__parser_v4_class_profile_cosine__SARC,class_cosine,27269.168636099843,0.013397892959506778,5446,0.01663988071594874
TP53__mutated,gene_mutated,27084.821449384093,0.013307319465757719,1915,0.005851151592185428
sample__parser_v4_class_profile_cosine__THYM,class_cosine,27044.638957086485,0.013287576996237147,6831,0.020871653538495384
PTEN__mutated,gene_mutated,26923.04944702983,0.013227837615749347,531,0.0016224342012796148
hotspot__BRAF_600,fixed_hotspot,24241.83710990101,0.011910503876171919,693,0.0021174141270937346
sample__parser_v4_class_profile_cosine__STES,class_cosine,24034.668423342984,0.01180871771891476,4836,0.014776067415043724
sample__parser_v4_class_profile_cosine__DLBC,class_cosine,23257.003554183524,0.01142663527208966,6011,0.018366199593016507
sample__parser_v4_class_profile_cosine__LUSC,class_cosine,22265.732607783284,0.010939603848030856,4238,0.01294891929382864
sample__parser_v4_class_profile_cosine__HNSC,class_cosine,20341.31171715213,0.009994097021409737,4747,0.01450413399901004
sample__parser_v4_class_profile_cosine__KIPAN,class_cosine,20041.781679593492,0.009846931868158418,4051,0.012377553576993822
hotspot__known_hotspot_total_count,fixed_hotspot,19465.475542261673,0.009563781030561675,2300,0.00702749277390417
sample__parser_v4_class_profile_cosine__OV,class_cosine,18982.361874675844,0.00932641753437423,4193,0.012811424869991383
sample__pathway_cell_cycle__mutated_gene_count,fixed_pathway,15128.180966205895,0.007432780660168429,1596,0.004876468898761328
sample__pathway_tp53__mutated_gene_count,fixed_pathway,14977.131849363446,0.007358567180245757,1225,0.003742903760014177
sample__multi_variant_gene_count,sample_aggregate,13124.81295220973,0.006448485518347076,2457,0.00750719554151415
APC__mutated,gene_mutated,12325.348916940391,0.006055692701211675,295,0.0009013523340442304
SOWAHC__synonymous,gene_synonymous,12048.22848366201,0.005919537838865021,185,0.0005652548535531615
PLEC__synonymous,gene_synonymous,11938.486315645278,0.005865619296651529,134,0.00040942783987093855
TP53__max_residue_position,gene_max_residue_position,10961.024421120965,0.005385372538505165,2977,0.009096019994744657
PIK3CA__max_residue_position,gene_max_residue_position,10431.466730130836,0.00512519015617992,1098,0.003354863941629034
sample__mutated_gene_count_log1p,sample_aggregate,10344.603268260136,0.005082512384086231,950,0.002902660058786505
sample__total_variant_count_log1p,sample_aggregate,10069.099389681593,0.0049471517676926025,830,0.0025360082618871567
sample__nonsense_count,sample_aggregate,8961.752191316104,0.004403089738127463,2066,0.006312521769950441
BRAF__max_residue_position,gene_max_residue_position,8720.86202507466,0.004284735537257984,402,0.0012282835196128156
BTG2__max_residue_position,gene_max_residue_position,8698.46130824089,0.004273729612935166,150,0.000458314746124185
sample__pathway_pi3k__mutated_gene_count,fixed_pathway,8004.1290917424485,0.00393259018037219,923,0.0028201634044841516
IDH1__max_residue_position,gene_max_residue_position,7712.500581011176,0.003789307206737802,103,0.00031470945900527366
CTNNB1__missense,gene_missense,7129.430705010891,0.003502833207812032,373,0.0011396760020288067
PTEN__max_residue_position,gene_max_residue_position,6272.737710997462,0.003081922648120216,495,0.0015124386622098105
IDH1__missense,gene_missense,5608.272373229265,0.0027554574159189132,137,0.00041859413479342224
NPM1__mutated,gene_mutated,5541.50474126637,0.0027226531306788274,377,0.0011518977285921183
sample__pathway_pi3k__missense_gene_count,fixed_pathway,5506.134891076013,0.002705275209365273,675,0.0020624163575588324
sample__pathway_tp53__lof_gene_count,fixed_pathway,5401.353209538385,0.002653793854282823,283,0.0008646871543542957
NPM1__frameshift,gene_frameshift,5168.989430859685,0.0025396288397219312,77,0.0002352682363437483
IDH1__mutated,gene_mutated,5162.839294999838,0.0025366071538379113,427,0.001304669310633513
BTG2__mutated,gene_mutated,5070.184912741184,0.002491084185672051,70,0.000213880214857953
CMPK2__synonymous,gene_synonymous,5050.812082290649,0.002481565923045029,94,0.0002872105742378226
LRIG1__missense,gene_missense,4780.220720361918,0.0023486189252370747,148,0.00045220388284252915
sample__pathway_wnt__mutated_gene_count,fixed_pathway,4705.910316896625,0.002312108724112434,796,0.0024321235860990083
VHL__max_residue_position,gene_max_residue_position,4428.854798525572,0.00217598575577001,306,0.0009349620820933373
EGFR__missense,gene_missense,4232.091748218983,0.0020793120976334793,309,0.000944128377015821
RYR2__max_residue_position,gene_max_residue_position,4201.994821988046,0.0020645248702913723,889,0.0027162787286960028
B2M__mutated,gene_mutated,4197.305033892393,0.0020622206827399722,102,0.0003116540273644458
sample__pathway_rtk_ras__mutated_gene_count,fixed_pathway,4124.436846718192,0.002026419071589245,1016,0.003104318547081146
PLEC__max_residue_position,gene_max_residue_position,4114.349844044074,0.002021463123576544,430,0.0013138356055559968
BTG1__mutated,gene_mutated,3878.3996408581734,0.0019055360262658608,101,0.0003085985957236179
KIT__max_residue_position,gene_max_residue_position,3716.225239135325,0.0018258564693255602,366,0.0011182879805430113
MYC__max_residue_position,gene_max_residue_position,3580.1359924674034,0.0017589930755738722,72,0.00021999107813960877
APC__nonsense,gene_nonsense,3414.274401552975,0.001677501928160482,129,0.0003941506816667991
PCLO__max_residue_position,gene_max_residue_position,3329.867659684038,0.0016360311921907885,668,0.002041028336073037
PIK3CA__missense,gene_missense,3320.447118639946,0.0016314026902289687,293,0.0008952414707625746
KMT2D__mutated,gene_mutated,3301.8297803085297,0.001622255616129136,312,0.0009532946719383047
CTNNB1__max_residue_position,gene_max_residue_position,3212.9024797054008,0.0015785638384091018,355,0.0010846782324939045
ATRX__mutated,gene_mutated,3130.6222616285086,0.001538137906500796,471,0.0014391083028299407
EGFR__max_residue_position,gene_max_residue_position,3069.6658509522676,0.0015081887915741733,518,0.001582713589948852
NFKB2__synonymous,gene_synonymous,2838.127222329378,0.0013944291898907628,104,0.0003177648906461016
SYNE1__max_residue_position,gene_max_residue_position,2756.931896178052,0.0013545362872832525,714,0.0021815781915511204
sample__pathway_rtk_ras__missense_gene_count,fixed_pathway,2724.23739862442,0.0013384728207201933,642,0.001961587113411512
SPTA1__max_residue_position,gene_max_residue_position,2663.0869746310636,0.001308428383134852,630,0.0019249219337215768
hotspot__PIK3CA_1047,fixed_hotspot,2600.9148666858673,0.0012778819716020148,134,0.00040942783987093855
sample__pathway_cell_cycle__lof_gene_count,fixed_pathway,2559.558317966759,0.0012575626644640732,329,0.001005237009832379
CDKN1A__mutated,gene_mutated,2541.1811425983906,0.0012485335872755028,191,0.0005835874433981289
KMT2D__max_residue_position,gene_max_residue_position,2536.639854597859,0.0012463023608182038,477,0.0014574408926749081
TNFAIP3__mutated,gene_mutated,2510.9555501937866,0.0012336831436452389,59,0.0001802704668088461
DST__max_residue_position,gene_max_residue_position,2492.527535535395,0.0012246290880873257,584,0.0017843720782434935
MAP1B__max_residue_position,gene_max_residue_position,2367.1402611732483,0.001163023789341092,251,0.0007669133418478028
sample__multi_variant_gene_count_log1p,sample_aggregate,2335.9224313870072,0.0011476858394576306,471,0.0014391083028299407
GATA3__frameshift,gene_frameshift,2265.190356016159,0.0011129337431517738,261,0.0007974676582560819
IDH2__max_residue_position,gene_max_residue_position,2132.466435134411,0.0010477238018855176,300,0.00091662949224837
FBXW7__max_residue_position,gene_max_residue_position,2118.3665146902204,0.0010407962263745158,341,0.0010419021895223138
CDH1__mutated,gene_mutated,2110.098051249981,0.001036733763393328,256,0.0007821905000519423
LRIG1__max_residue_position,gene_max_residue_position,2081.9438730180264,0.0010229010473560944,56,0.0001711041718863624
