candidate_a,candidate_b,dominant_class,shared_ids,jaccard
LRIG1_24,CMPK2_153,ACC,11,0.324
LRIG1_24,LRIG1_26,ACC,19,0.76
CMPK2_153,THEM4_17,ACC,8,0.32
PEX6_133,PLEC_2106,ACC,8,0.364
NFKB2_423,THEM4_17,ACC,7,0.318
NFKB2_423,NOTCH2_19,ACC,6,0.3
TM7SF2_52,THEM4_17,ACC,8,0.381
PLEC_1321,PLEC_2106,ACC,8,0.4
PLEC_1321,PLEC_2113,ACC,6,0.3
PLEC_2106,PLEC_2113,ACC,7,0.368
THEM4_17,NOTCH2_19,ACC,7,0.438
NOTCH2_19,NOTCH2_5,ACC,6,0.462
UQCRFS1_6,UQCRFS1_8,ACC,9,0.9
OGFR_557,OGFR_556,ACC,7,0.7
GLI1_272,OPTN_25,STES,3,0.3
SVIL_1862,ALDH2_286,STES,3,0.333
DCT_499,APC_2204,UCEC,3,0.3
DCT_499,ATP2C1_690,UCEC,3,0.3
DCT_499,MBOAT2_43,UCEC,3,0.3
COL17A1_145,RALA_176,UCEC,3,0.429
COL17A1_145,PEX2_125,UCEC,3,0.5
COL17A1_145,SPARCL1_282,UCEC,3,0.5
APC_2204,SMC4_1252,UCEC,3,0.375
ATP2C1_690,MBOAT2_43,UCEC,3,0.333
ATP2C1_690,XPO1_749,UCEC,3,0.375
ILVBL_530,ACRV1_257,UCEC,3,0.375
COL4A2_1651,PTPRD_1387,SKCM,2,0.333
MERTK_722,GNAI2_179,SKCM,2,0.333
MERTK_722,MYL2_48,SKCM,2,0.333
RALA_176,SPARCL1_282,UCEC,3,0.5
MAN1A1_302,CD2_114,SKCM,2,0.333
PEX2_125,SPARCL1_282,UCEC,2,0.333
