family,n_features,train_active_features,test_active_features,train_nnz,test_nnz,train_row_prevalence,test_row_prevalence,train_row_sum_mean,test_row_sum_mean,train_row_sum_p95,test_row_sum_p95
base_sample_aggregate,4,3,4,14289,6691,0.9848411546524755,0.9878240377062059,80.00048065185547,235.6076202392578,258.0,1122.5
gene_mutation_presence,4384,4230,4358,218893,198930,0.9848411546524755,0.9878240377062059,35.29962921142578,78.13433074951172,122.0,366.25
missingness,4384,0,25,0,237,0.0,0.05027494108405342,0.0,0.09308719635009766,0.0,0.75
native_frameshift,4385,2720,2925,12737,14977,0.5279793581680374,0.6449332285938727,3.1117560863494873,15.376276969909668,8.0,30.75
native_missense,4385,4223,4354,152376,124345,0.9703273665537816,0.9760408483896308,50.169166564941406,126.94933319091797,159.0,511.25
native_no_change,4385,4165,4248,66744,56799,0.8467989034026769,0.9049489395129615,20.70246696472168,56.2525520324707,73.0,235.0
native_nonsense,4385,3183,2743,16031,9092,0.5266892436703757,0.6123330714846819,4.20158052444458,9.367242813110352,14.0,26.0
native_range_no_change,4385,59,10,110,18,0.0075794226737622965,0.003534956794972506,0.020964359864592552,0.007069913670420647,0.0,0.0
native_range_replacement,4385,99,20,209,36,0.01628769553297855,0.006284367635506678,0.03499435633420944,0.015710918232798576,0.0,0.0
native_range_stop,4385,54,11,118,22,0.009030801483631673,0.00432050274941084,0.020158039405941963,0.008641005493700504,0.0,0.0
