left,right,spearman
sample__mutated_gene_count,sample__total_variant_count,0.9960893198599309
sample__total_variant_count,sample__native_v3_missense_token_count,0.9750211679947764
sample__mutated_gene_count,sample__native_v3_missense_token_count,0.9722788361388162
sample__total_variant_count,sample__native_v3_no_change_token_count,0.8993851449918334
sample__mutated_gene_count,sample__native_v3_no_change_token_count,0.8978327869712307
sample__native_v3_missense_token_count,sample__native_v3_no_change_token_count,0.817170973007146
sample__total_variant_count,sample__native_v3_nonsense_token_count,0.6744650593939938
sample__mutated_gene_count,sample__native_v3_nonsense_token_count,0.6725168026238751
sample__total_variant_count,sample__multi_variant_gene_count,0.6267834688008086
sample__native_v3_missense_token_count,sample__native_v3_nonsense_token_count,0.623650072165229
sample__multi_variant_gene_count,sample__native_v3_missense_token_count,0.6098886843063309
sample__native_v3_no_change_token_count,sample__native_v3_nonsense_token_count,0.5953992724795243
sample__mutated_gene_count,sample__multi_variant_gene_count,0.5856654316147739
sample__multi_variant_gene_count,sample__native_v3_no_change_token_count,0.5805178744623591
sample__multi_variant_gene_count,sample__native_v3_nonsense_token_count,0.507920625811006
sample__total_variant_count,sample__native_v3_frameshift_token_count,0.45500924282034877
sample__mutated_gene_count,sample__native_v3_frameshift_token_count,0.44867777268148135
sample__native_v3_missense_token_count,sample__native_v3_frameshift_token_count,0.3813192092552851
sample__native_v3_no_change_token_count,sample__native_v3_frameshift_token_count,0.35748562497008807
sample__multi_variant_gene_count,sample__native_v3_frameshift_token_count,0.3428845398927131
sample__native_v3_nonsense_token_count,sample__native_v3_frameshift_token_count,0.27490284481175736
sample__native_v3_range_stop_token_count,sample__native_v3_range_no_change_token_count,0.14926365613480314
sample__mutated_gene_count,sample__native_v3_range_replacement_token_count,0.1376210799017155
sample__total_variant_count,sample__native_v3_range_replacement_token_count,0.13669131253737776
sample__native_v3_missense_token_count,sample__native_v3_range_replacement_token_count,0.13233885979004592
sample__multi_variant_gene_count,sample__native_v3_range_no_change_token_count,0.12557805520380783
sample__mutated_gene_count,sample__native_v3_range_stop_token_count,0.12486708900148207
sample__native_v3_missense_token_count,sample__native_v3_range_stop_token_count,0.12475178376903928
sample__total_variant_count,sample__native_v3_range_stop_token_count,0.12471898387953102
sample__native_v3_no_change_token_count,sample__native_v3_range_replacement_token_count,0.1233593616245826
sample__mutated_gene_count,sample__native_v3_range_no_change_token_count,0.12055337389200933
sample__total_variant_count,sample__native_v3_range_no_change_token_count,0.1202866814524303
sample__multi_variant_gene_count,sample__native_v3_range_stop_token_count,0.11888233461731786
sample__native_v3_missense_token_count,sample__native_v3_range_no_change_token_count,0.11851704048459469
sample__native_v3_no_change_token_count,sample__native_v3_range_no_change_token_count,0.11605596228909049
sample__native_v3_nonsense_token_count,sample__native_v3_range_replacement_token_count,0.11556118451157008
sample__multi_variant_gene_count,sample__native_v3_range_replacement_token_count,0.11455803552188011
sample__native_v3_no_change_token_count,sample__native_v3_range_stop_token_count,0.11341348558511287
sample__native_v3_nonsense_token_count,sample__native_v3_range_no_change_token_count,0.11152678854176709
sample__native_v3_range_replacement_token_count,sample__native_v3_range_stop_token_count,0.11024600860243736
sample__native_v3_nonsense_token_count,sample__native_v3_range_stop_token_count,0.1052011382324658
sample__native_v3_range_replacement_token_count,sample__native_v3_range_no_change_token_count,0.09199549312157865
sample__native_v3_frameshift_token_count,sample__native_v3_range_stop_token_count,0.0780066568697557
sample__native_v3_frameshift_token_count,sample__native_v3_range_no_change_token_count,0.07203392429734067
sample__native_v3_frameshift_token_count,sample__native_v3_range_replacement_token_count,0.07036907911417264
sample__mutated_gene_count,sample__missing_gene_count,
sample__total_variant_count,sample__missing_gene_count,
sample__multi_variant_gene_count,sample__missing_gene_count,
sample__missing_gene_count,sample__native_v3_missense_token_count,
sample__missing_gene_count,sample__native_v3_no_change_token_count,
sample__missing_gene_count,sample__native_v3_nonsense_token_count,
sample__missing_gene_count,sample__native_v3_frameshift_token_count,
sample__missing_gene_count,sample__native_v3_range_replacement_token_count,
sample__missing_gene_count,sample__native_v3_range_stop_token_count,
sample__missing_gene_count,sample__native_v3_range_no_change_token_count,
