feature,family,kind,train_nonzero,test_nonzero,train_prevalence,test_prevalence,prevalence_abs_diff,prevalence_relative_ratio,train_zero_ratio,test_zero_ratio,train_min,test_min,train_p25,test_p25,train_median,test_median,train_p75,test_p75,train_p90,test_p90,train_p95,test_p95,train_p99,test_p99,train_max,test_max,native_v3_family,mean_gain
sample__multi_variant_gene_count,sample_burden_aggregate,continuous,2075,1533,0.334623447830995,0.6021209740769835,0.2674975262459885,1.7993986314464456,0.6653765521690049,0.3978790259230165,0.0,0.0,0.0,0.0,0.0,2.0,1.0,17.0,3.0,28.0,8.0,131.25,46.0,430.70001220703125,2021.0,1055.0,base_sample_aggregate,110.32080332438152
TCHH__mutated,mutated,presence,213,734,0.0343492985002419,0.2882953652788688,0.2539460667786269,8.393049577907348,0.9656507014997581,0.7117046347211312,,,,,,,,,,,,,,,,,gene_mutation_presence,102.63033803304036
AHNAK__mutated,mutated,presence,349,774,0.056281244960490244,0.3040062843676355,0.24772503940714524,5.401555786142429,0.9437187550395097,0.6959937156323646,,,,,,,,,,,,,,,,,gene_mutation_presence,80.13548469543457
CPEB2__mutated,mutated,presence,38,372,0.00612804386389292,0.14611154752553024,0.1399835036616373,23.84309753173192,0.9938719561361071,0.8538884524744698,,,,,,,,,,,,,,,,,gene_mutation_presence,33.6293519337972
sample__mutated_gene_count,sample_burden_aggregate,continuous,6107,2515,0.9848411546524755,0.9878240377062059,0.0029828830537304007,1.0030287961054827,0.015158845347524541,0.01217596229379414,0.0,0.0,7.0,11.0,14.0,28.0,27.0,52.0,67.0,93.0,122.0,366.25,394.0,1154.0999755859375,2393.0,2784.0,base_sample_aggregate,30.625260670979817
sample__missing_gene_count,sample_burden_aggregate,continuous,0,128,0.0,0.05027494108405342,0.05027494108405342,,1.0,0.9497250589159466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,3.0,0.0,5.0,base_sample_aggregate,27.394060134887695
APC__mutated,mutated,presence,367,706,0.059184002580228996,0.27729772191673213,0.21811371933650314,4.685349246881896,0.940815997419771,0.7227022780832679,,,,,,,,,,,,,,,,,gene_mutation_presence,21.869417508443195
gene__CPEB2__native_v3_missense_any,CPEB2__native_v3_missense_any,presence,26,307,0.0041928721174004195,0.12058130400628436,0.11638843188888394,28.75864100549882,0.9958071278825996,0.8794186959937156,,,,,,,,,,,,,,,,,native_missense,19.65941874186198
LY75__mutated,mutated,presence,109,28,0.01757781003064022,0.010997643362136685,-0.006580166668503534,0.6256549219138494,0.9824221899693598,0.9890023566378633,,,,,,,,,,,,,,,,,gene_mutation_presence,19.266405423482258
gene__RYR2__native_v3_no_change_any,RYR2__native_v3_no_change_any,presence,201,90,0.0324141267537494,0.03534956794972506,0.0029354411959756632,1.0905605515236074,0.9675858732462506,0.9646504320502749,,,,,,,,,,,,,,,,,native_no_change,18.399681091308594
MTCH2__mutated,mutated,presence,27,211,0.0043541364296081275,0.0828750981932443,0.07852096176363618,19.03364755171511,0.9956458635703919,0.9171249018067557,,,,,,,,,,,,,,,,,gene_mutation_presence,17.92740472157796
gene__TCHH__native_v3_missense_any,TCHH__native_v3_missense_any,presence,165,518,0.026608611514271893,0.20345640219952868,0.1768477906852568,7.6462615153895594,0.9733913884857281,0.7965435978004713,,,,,,,,,,,,,,,,,native_missense,17.728824297587078
ERCC5__mutated,mutated,presence,82,16,0.013223673601032092,0.006284367635506678,-0.006939305965525415,0.47523614277776716,0.986776326398968,0.9937156323644933,,,,,,,,,,,,,,,,,gene_mutation_presence,17.225560506184895
