class,rank,feature,family,mean_abs_true_class_shap
ACC,1,gene__PLEC__native_v3_no_change_any,native_no_change,1.002698566019535
ACC,2,gene__SOWAHC__native_v3_no_change_any,native_no_change,0.9151135735213757
ACC,3,sample__native_v3_no_change_token_count,native_no_change,0.7121095836162568
ACC,4,gene__PTGIR__native_v3_no_change_any,native_no_change,0.2734642455354333
ACC,5,sample__native_v3_missense_token_count,native_missense,0.2563084471970797
ACC,6,gene__CMPK2__native_v3_no_change_any,native_no_change,0.21283169854432343
ACC,7,SOWAHC__mutated,gene_mutation_presence,0.17650423906743526
ACC,8,gene__SPRR3__native_v3_no_change_any,native_no_change,0.17533828830346465
ACC,9,gene__LRIG1__native_v3_missense_any,native_missense,0.17097563222050666
ACC,10,sample__native_v3_nonsense_token_count,native_nonsense,0.16656442191451787
ACC,11,gene__PGLS__native_v3_no_change_any,native_no_change,0.158191927568987
ACC,12,PLEC__mutated,gene_mutation_presence,0.15544304633513092
ACC,13,gene__KRT8__native_v3_missense_any,native_missense,0.12886429787613451
ACC,14,gene__TM7SF2__native_v3_no_change_any,native_no_change,0.12848371675936504
ACC,15,sample__mutated_gene_count,base_sample_aggregate,0.11227122470736503
ACC,16,sample__multi_variant_gene_count,base_sample_aggregate,0.10775694344192743
ACC,17,PTGIR__mutated,gene_mutation_presence,0.10122961277957074
ACC,18,gene__TP53__native_v3_missense_any,native_missense,0.10071937721222639
ACC,19,gene__PEX6__native_v3_no_change_any,native_no_change,0.0775520394789055
ACC,20,gene__ERCC2__native_v3_missense_any,native_missense,0.06910614805528895
BLCA,1,sample__total_variant_count,base_sample_aggregate,0.406404522061348
BLCA,2,sample__mutated_gene_count,base_sample_aggregate,0.34015641212463377
BLCA,3,sample__multi_variant_gene_count,base_sample_aggregate,0.2733738854527473
BLCA,4,sample__native_v3_missense_token_count,native_missense,0.15894918106496334
BLCA,5,gene__FGFR3__native_v3_missense_any,native_missense,0.14448285493999719
BLCA,6,KMT2D__mutated,gene_mutation_presence,0.12481405362486839
BLCA,7,ERCC2__mutated,gene_mutation_presence,0.09385559689253568
BLCA,8,gene__TP53__native_v3_missense_any,native_missense,0.08414449617266655
BLCA,9,sample__native_v3_no_change_token_count,native_no_change,0.08413822054862977
BLCA,10,gene__RXRA__native_v3_missense_any,native_missense,0.0819062428548932
BLCA,11,CDKN1A__mutated,gene_mutation_presence,0.07622415209189057
BLCA,12,FGFR3__mutated,gene_mutation_presence,0.0642861872445792
BLCA,13,sample__native_v3_frameshift_token_count,native_frameshift,0.05898161977529526
BLCA,14,TP53__mutated,gene_mutation_presence,0.05174786746501923
BLCA,15,PCLO__mutated,gene_mutation_presence,0.0500444145873189
BLCA,16,sample__native_v3_nonsense_token_count,native_nonsense,0.04924960494972765
BLCA,17,gene__ERCC2__native_v3_missense_any,native_missense,0.04618170196190476
BLCA,18,SPTAN1__mutated,gene_mutation_presence,0.04085900904610753
BLCA,19,gene__DMD__native_v3_missense_any,native_missense,0.039535435708239676
BLCA,20,gene__ELF3__native_v3_frameshift_any,native_frameshift,0.029839325696229935
BRCA,1,gene__PIK3CA__native_v3_missense_any,native_missense,0.666133277118206
BRCA,2,sample__mutated_gene_count,base_sample_aggregate,0.44952100990340116
BRCA,3,CDH1__mutated,gene_mutation_presence,0.260501909814775
BRCA,4,MAP3K1__mutated,gene_mutation_presence,0.2596937594003975
BRCA,5,gene__CDH1__native_v3_frameshift_any,native_frameshift,0.1994999256916344
BRCA,6,sample__native_v3_no_change_token_count,native_no_change,0.19840720789507033
BRCA,7,PIK3CA__mutated,gene_mutation_presence,0.18107462376356126
BRCA,8,sample__native_v3_missense_token_count,native_missense,0.16402019932866096
BRCA,9,sample__native_v3_frameshift_token_count,native_frameshift,0.09025231020059436
BRCA,10,sample__multi_variant_gene_count,base_sample_aggregate,0.0803718812065199
BRCA,11,TP53__mutated,gene_mutation_presence,0.06605814471840858
BRCA,12,gene__MAP3K1__native_v3_frameshift_any,native_frameshift,0.053641864703968166
BRCA,13,sample__total_variant_count,base_sample_aggregate,0.05039481402491219
BRCA,14,IDH1__mutated,gene_mutation_presence,0.042044644989073274
BRCA,15,GFPT2__mutated,gene_mutation_presence,0.03776517410442466
BRCA,16,gene__CDH1__native_v3_missense_any,native_missense,0.02726497328840196
BRCA,17,gene__GATA3__native_v3_frameshift_any,native_frameshift,0.02347971387207508
BRCA,18,PTEN__mutated,gene_mutation_presence,0.020453990693204104
BRCA,19,sample__native_v3_nonsense_token_count,native_nonsense,0.019362084119347856
BRCA,20,gene__TP53__native_v3_missense_any,native_missense,0.018751126516144724
CESC,1,TP53__mutated,gene_mutation_presence,0.37725228518247605
CESC,2,sample__native_v3_frameshift_token_count,native_frameshift,0.15962721458636225
CESC,3,sample__multi_variant_gene_count,base_sample_aggregate,0.158345808647573
CESC,4,sample__native_v3_nonsense_token_count,native_nonsense,0.1441705834120512
CESC,5,sample__native_v3_no_change_token_count,native_no_change,0.1265170288272202
