family,feature_count,total_mean_abs_shap,total_share,mean_per_feature
gene_mutation_presence,4384,0.7887483255364853,0.32455498043576336,0.00017991522024098604
base_sample_aggregate,4,0.66602338172415,0.2740559930548384,0.1665058454310375
native_missense,4385,0.5482627585122459,0.22559972947209578,0.0001250314158522787
native_no_change,4385,0.24824333616436497,0.10214742586912436,5.6611935271234825e-05
native_frameshift,4385,0.10137498210416003,0.04171388295640771,2.3118582007790223e-05
native_nonsense,4385,0.07584379826842777,0.031208284906900776,1.729619116725833e-05
native_range_no_change,4385,0.0011933903819673218,0.000491057514205418,2.721528807223083e-07
native_range_replacement,4385,0.0003712310561474984,0.0001527545406618119,8.46593058489164e-08
native_range_stop,4385,0.00018443437929710542,7.589125000517708e-05,4.20602917439237e-08
missingness,4384,0.0,0.0,0.0
