feature,family,mean_abs_shap,share,rank
sample__mutated_gene_count,base_sample_aggregate,0.34687285177507937,0.14273160142049734,1
sample__total_variant_count,base_sample_aggregate,0.25199963628676103,0.10369307214597177,2
TP53__mutated,gene_mutation_presence,0.18170443246050966,0.0747679286446666,3
sample__native_v3_no_change_token_count,native_no_change,0.16716373719900193,0.06878470825188653,4
sample__native_v3_missense_token_count,native_missense,0.1631644366143271,0.06713907189236333,5
sample__native_v3_frameshift_token_count,native_frameshift,0.07609400390502424,0.03131123978219037,6
sample__multi_variant_gene_count,base_sample_aggregate,0.06715089366230965,0.027631319488369294,7
gene__IDH1__native_v3_missense_any,native_missense,0.05946314852937156,0.024467958134139146,8
sample__native_v3_nonsense_token_count,native_nonsense,0.047915806511122164,0.019716445843740448,9
gene__BRAF__native_v3_missense_any,native_missense,0.03564545908765112,0.014667430538058576,10
VHL__mutated,gene_mutation_presence,0.033550183460141526,0.013805264346033548,11
PTEN__mutated,gene_mutation_presence,0.03354018087038101,0.013801148470007032,12
gene__PIK3CA__native_v3_missense_any,native_missense,0.03063837702153606,0.012607111207551086,13
APC__mutated,gene_mutation_presence,0.02592761711741289,0.010668722828114138,14
IDH1__mutated,gene_mutation_presence,0.025104468591186327,0.010330012817359471,15
gene__TP53__native_v3_missense_any,native_missense,0.02244546195290359,0.009235882003351804,16
BRAF__mutated,gene_mutation_presence,0.01877728966800796,0.007726498660636562,17
gene__CTNNB1__native_v3_missense_any,native_missense,0.014668651292023247,0.006035871873152292,18
gene__APC__native_v3_nonsense_any,native_nonsense,0.014051167844381941,0.005781789142602823,19
KMT2D__mutated,gene_mutation_presence,0.01379165119456693,0.005675002961920694,20
PIK3CA__mutated,gene_mutation_presence,0.013153399721710693,0.005412374582779531,21
gene__PLEC__native_v3_no_change_any,native_no_change,0.01235184639050693,0.00508255058530846,22
BTG2__mutated,gene_mutation_presence,0.008597696629527146,0.0035377891414106514,23
gene__EGFR__native_v3_missense_any,native_missense,0.008102858277764496,0.0033341725423314014,24
