token,key,train_document_frequency,test_document_frequency
gene=TP53|family=substitution:missense,family,1299,748
gene=TP53|subfamily=missense,subfamily,1299,748
gene=TP53|position_bin=201-300,position_bin,988,559
gene=TP53|position_bin=101-200,position_bin,657,786
gene=PIK3CA|family=substitution:missense,family,665,332
gene=PIK3CA|subfamily=missense,subfamily,665,332
gene=TCHH|family=substitution:missense,family,165,518
gene=TCHH|subfamily=missense,subfamily,165,518
gene=TP53|position_bin=1-100,position_bin,87,507
gene=RYR2|family=substitution:missense,family,504,250
gene=RYR2|subfamily=missense,subfamily,504,250
gene=SYNE1|family=substitution:missense,family,467,309
gene=SYNE1|subfamily=missense,subfamily,467,309
gene=PCLO|family=substitution:missense,family,454,226
gene=PCLO|subfamily=missense,subfamily,454,226
gene=APC|position_bin=1301-1400,position_bin,62,440
gene=APC|position_bin=1201-1300,position_bin,33,436
gene=IDH1|family=substitution:missense,family,434,113
gene=IDH1|subfamily=missense,subfamily,434,113
gene=IDH1|position_bin=101-200,position_bin,421,105
gene=BRAF|family=substitution:missense,family,417,187
gene=BRAF|subfamily=missense,subfamily,417,187
gene=AHNAK|family=substitution:missense,family,245,415
gene=AHNAK|subfamily=missense,subfamily,245,415
gene=CACNA1A|family=substitution:missense,family,144,373
gene=CACNA1A|subfamily=missense,subfamily,144,373
gene=SPTA1|family=substitution:missense,family,357,161
gene=SPTA1|subfamily=missense,subfamily,357,161
gene=BRAF|position_bin=501-600,position_bin,356,154
gene=AHNAK|family=substitution:no_change,family,114,349
gene=AHNAK|subfamily=no_change,subfamily,114,349
gene=IDH1|aa_transition=R>H,aa_transition,346,75
gene=APC|position_bin=1101-1200,position_bin,24,344
gene=APC|family=substitution:nonsense,family,159,336
gene=APC|subfamily=nonsense,subfamily,159,336
gene=RYR1|family=substitution:missense,family,324,209
gene=RYR1|subfamily=missense,subfamily,324,209
gene=BRAF|aa_transition=V>E,aa_transition,321,118
gene=DMD|family=substitution:missense,family,308,161
gene=DMD|subfamily=missense,subfamily,308,161
gene=CPEB2|family=substitution:missense,family,26,307
gene=CPEB2|subfamily=missense,subfamily,26,307
gene=DST|family=substitution:missense,family,300,161
gene=DST|subfamily=missense,subfamily,300,161
gene=PIK3CA|position_bin=501-600,position_bin,284,147
gene=APC|family=frameshift,family,70,281
gene=APC|parse_status=partial,parse_status,70,281
gene=UBC|family=substitution:no_change,family,35,275
gene=UBC|subfamily=no_change,subfamily,35,275
gene=MAGEE1|family=substitution:missense,family,74,274
gene=MAGEE1|subfamily=missense,subfamily,74,274
gene=TP53|family=substitution:nonsense,family,268,163
gene=TP53|subfamily=nonsense,subfamily,268,163
gene=RELN|family=substitution:missense,family,264,151
gene=RELN|subfamily=missense,subfamily,264,151
gene=PIK3CA|aa_transition=E>K,aa_transition,260,136
