gene,n_rows_train,mutated_cell_rate_train,token_total_train,tokens_per_row_mean_train,tokens_per_row_median_train,tokens_per_row_p95_train,complex_token_fraction_train,n_rows_test,mutated_cell_rate_test,token_total_test,tokens_per_row_mean_test,tokens_per_row_median_test,tokens_per_row_p95_test,complex_token_fraction_test,mutated_cell_rate_diff,token_mean_ratio_test_over_train,complex_fraction_diff,token_total_ratio_test_over_train,abs_shift_score
TMEM158,6201,0.00016126431220770844,1,0.00016126431220770844,0.0,0.0,0.0,2546,0.014139827179890024,36,0.014139827179890024,0.0,0.0,0.027777777777777776,0.013978562867682315,87.68106834249804,0.027777777777777776,36.0,3.833655591924997
PMAIP1,6201,0.00016126431220770844,1,0.00016126431220770844,0.0,0.0,0.0,2546,0.00589159465828751,33,0.012961508248232521,0.0,0.0,0.09090909090909091,0.005730330346079801,80.37431264728987,0.09090909090909091,33.0,3.802551894457592
APC,6201,0.059184002580228996,529,0.08530882115787776,0.0,1.0,0.0,2546,0.27729772191673213,8196,3.219167321288295,0.0,13.0,0.4775500244021474,0.21811371933650314,37.735456633853914,0.4775500244021474,15.493383742911153,3.6592719358558945
MUC1,6201,0.0038703434929850023,24,0.0038703434929850023,0.0,0.0,0.0,2546,0.08837391987431265,638,0.25058915946582877,0.0,3.0,0.018808777429467086,0.08450357638132765,64.74597407698352,0.018808777429467086,26.583333333333332,3.5959636116657316
CFD,6201,0.0004837929366231253,3,0.0004837929366231253,0.0,0.0,0.0,2546,0.01335428122545169,66,0.025923016496465043,0.0,0.0,0.18181818181818182,0.012870488288828565,53.58287509819325,0.18181818181818182,22.0,3.501261680211473
CDKN1C,6201,0.0009675858732462506,6,0.0009675858732462506,0.0,0.0,0.0,2546,0.02356637863315004,118,0.046347211311861744,0.0,0.0,0.17796610169491525,0.02259879275990379,47.89984289080911,0.17796610169491525,19.666666666666668,3.3971918975036495
TBC1D30,6201,0.0006450572488308337,4,0.0006450572488308337,0.0,0.0,0.0,2546,0.014532600157109192,85,0.03338570306362922,0.0,0.0,0.023529411764705882,0.013887542908278358,51.7561861743912,0.023529411764705882,21.25,3.3099508130413957
SRP14,6201,0.0004837929366231253,4,0.0006450572488308337,0.0,0.0,0.0,2546,0.011390416339355853,53,0.020816967792615867,0.0,0.0,0.4528301886792453,0.010906623402732728,32.27150432050275,0.4528301886792453,13.25,3.275290936054806
MTCH2,6201,0.0043541364296081275,30,0.004837929366231253,0.0,0.0,0.0,2546,0.0828750981932443,560,0.2199528672427337,0.0,3.0,0.03214285714285714,0.07852096176363618,45.464257659073056,0.03214285714285714,18.666666666666668,3.2562000028820113
CPEB2,6201,0.00612804386389292,38,0.00612804386389292,0.0,0.0,0.0,2546,0.14611154752553024,525,0.20620581304006286,0.0,1.0,0.18095238095238095,0.1399835036616373,33.64953280687973,0.18095238095238095,13.81578947368421,3.1730729463921516
SRSF10,6201,0.00016126431220770844,1,0.00016126431220770844,0.0,0.0,0.0,2546,0.00432050274941084,18,0.007069913589945012,0.0,0.0,0.0,0.004159238437203131,43.84053417124902,0.0,18.0,3.1141245688391854
CEBPA,6201,0.003386550556361877,23,0.003709079180777294,0.0,0.0,0.0,2546,0.038884524744697564,330,0.12961508248232523,0.0,0.0,0.14545454545454545,0.03549797418833569,34.945353324908645,0.14545454545454545,14.347826086956522,3.069805161068698
TCF7L2,6201,0.013223673601032092,88,0.014191259474278342,0.0,0.0,0.0,2546,0.07776904948939513,1288,0.5058915946582875,0.0,4.0,0.06832298136645963,0.06454537588836304,35.648111119045915,0.06832298136645963,14.636363636363637,3.0410830653377516
KLF2,6201,0.0008063215610385422,6,0.0009675858732462506,0.0,0.0,0.0,2546,0.03652788688138256,93,0.03652788688138256,0.0,0.0,0.0,0.03572156532034402,37.75157109190888,0.0,15.5,2.999745684045182
ESRRA,6201,0.004676665054023544,31,0.004999193678438961,0.0,0.0,0.0,2546,0.054595443833464256,266,0.1044776119402985,0.0,1.0,0.4548872180451128,0.04991877877944071,20.898892633606163,0.4548872180451128,8.580645161290322,2.8980948871331096
CTF1,6201,0.0003225286244154169,2,0.0003225286244154169,0.0,0.0,0.0,2546,0.00589159465828751,28,0.010997643362136685,0.0,0.0,0.0,0.005569066033872093,34.09819324430479,0.0,14.0,2.870571540099657
PCSK1N,6201,0.0004837929366231253,3,0.0004837929366231253,0.0,0.0,0.0,2546,0.01610369206598586,41,0.01610369206598586,0.0,0.0,0.0,0.015619899129362734,33.28633150039277,0.0,13.666666666666666,2.8572194947888487
IL32,6201,0.0059667795516852125,41,0.006611836800516046,0.0,0.0,0.04878048780487805,2546,0.03809897879025923,507,0.19913589945011784,0.0,0.0,0.0039447731755424065,0.03213219923857402,30.11809054854099,-0.044835714629335645,12.365853658536585,2.8216100730409965
RPL14,6201,0.001451378809869376,9,0.001451378809869376,0.0,0.0,0.0,2546,0.018460329929300863,47,0.018460329929300863,0.0,0.0,0.8297872340425532,0.017008951119431487,12.719167321288294,0.8297872340425532,5.222222222222222,2.772442934189813
PAX6,6201,0.009837123044670215,67,0.010804708917916465,0.0,0.0,0.0,2546,0.04752553024351924,657,0.2580518460329929,0.0,0.0,0.1445966514459665,0.03768840719884903,23.883276078367,0.1445966514459665,9.805970149253731,2.7033338124629562
CEBPB,6201,0.0012901144976616675,8,0.0012901144976616675,0.0,0.0,0.0,2546,0.014532600157109192,82,0.03220738413197172,0.0,0.0,0.0975609756097561,0.013242485659447524,24.964748625294575,0.0975609756097561,10.25,2.6743960766682693
CAST,6201,0.006450572488308337,41,0.006611836800516046,0.0,0.0,0.0,2546,0.018853102906520033,445,0.17478397486252945,0.0,0.0,0.024719101123595506,0.012402530418211696,26.435010442013294,0.024719101123595506,10.853658536585366,2.655794402101924
MT1E,6201,0.00016126431220770844,1,0.00016126431220770844,0.0,0.0,0.0,2546,0.00432050274941084,11,0.00432050274941084,0.0,0.0,0.0,0.004159238437203131,26.79143754909662,0.0,11.0,2.6357400293004867
PTK2,6201,0.013707466537655217,95,0.015320109659732302,0.0,0.0,0.0,2546,0.02356637863315004,947,0.37195600942655144,0.0,0.0,0.054910242872228086,0.009858912095494821,24.27893909951627,0.054910242872228086,9.968421052631578,2.6015935768056893
NTHL1,6201,0.0006450572488308337,4,0.0006450572488308337,0.0,0.0,0.0,2546,0.009033778476040848,42,0.016496465043205028,0.0,0.0,0.0,0.008388721227210015,25.573644933228593,0.0,10.5,2.595161473312202
