fold,axis,bucket,count,usable
0,mutation_burden,<=q10,552,True
0,mutation_burden,q10-q90,3914,True
0,mutation_burden,>q90,494,True
0,all_wt_low_mutation,all_wt,78,True
0,all_wt_low_mutation,1-4,679,True
0,all_wt_low_mutation,>=5,4203,True
0,missingness,==0,4960,False
0,missingness,>0,0,False
0,complex_unresolved,==0,4839,True
0,complex_unresolved,>0,121,True
0,nonstandard_notation,==0,4842,True
0,nonstandard_notation,>0,118,True
0,parser_semantic_burden::sample__parser_v4_total_token_count,>0,4882,True
0,parser_semantic_burden::sample__parser_v4_missense_count,>0,4807,True
0,parser_semantic_burden::sample__parser_v4_no_change_count,>0,4202,True
0,parser_semantic_burden::sample__parser_v4_nonsense_count,>0,2582,True
0,parser_semantic_burden::sample__parser_v4_start_codon_affected_count,>0,0,False
0,parser_semantic_burden::sample__parser_v4_unknown_reference_substitution_count,>0,0,False
0,parser_semantic_burden::sample__parser_v4_nonstandard_stop_reference_count,>0,0,False
0,parser_semantic_burden::sample__parser_v4_frameshift_count,>0,2630,True
0,parser_semantic_burden::sample__parser_v4_deletion_count,>0,2,False
0,parser_semantic_burden::sample__parser_v4_delins_count,>0,0,False
0,parser_semantic_burden::sample__parser_v4_insertion_count,>0,0,False
0,parser_semantic_burden::sample__parser_v4_duplication_candidate_count,>0,0,False
0,parser_semantic_burden::sample__parser_v4_range_replacement_count,>0,90,True
0,parser_semantic_burden::sample__parser_v4_range_stop_count,>0,44,True
0,parser_semantic_burden::sample__parser_v4_range_no_change_count,>0,42,True
0,parser_semantic_burden::sample__parser_v4_unresolved_count,>0,121,True
0,parser_semantic_burden::sample__parser_v4_complete_parse_count,>0,4861,True
0,parser_semantic_burden::sample__parser_v4_partial_parse_count,>0,2630,True
1,mutation_burden,<=q10,544,True
1,mutation_burden,q10-q90,3926,True
1,mutation_burden,>q90,491,True
1,all_wt_low_mutation,all_wt,74,True
1,all_wt_low_mutation,1-4,675,True
1,all_wt_low_mutation,>=5,4212,True
1,missingness,==0,4961,False
1,missingness,>0,0,False
1,complex_unresolved,==0,4842,True
1,complex_unresolved,>0,119,True
1,nonstandard_notation,==0,4845,True
1,nonstandard_notation,>0,116,True
1,parser_semantic_burden::sample__parser_v4_total_token_count,>0,4887,True
1,parser_semantic_burden::sample__parser_v4_missense_count,>0,4809,True
1,parser_semantic_burden::sample__parser_v4_no_change_count,>0,4207,True
1,parser_semantic_burden::sample__parser_v4_nonsense_count,>0,2604,True
1,parser_semantic_burden::sample__parser_v4_start_codon_affected_count,>0,0,False
1,parser_semantic_burden::sample__parser_v4_unknown_reference_substitution_count,>0,0,False
1,parser_semantic_burden::sample__parser_v4_nonstandard_stop_reference_count,>0,0,False
1,parser_semantic_burden::sample__parser_v4_frameshift_count,>0,2623,True
1,parser_semantic_burden::sample__parser_v4_deletion_count,>0,3,False
1,parser_semantic_burden::sample__parser_v4_delins_count,>0,0,False
1,parser_semantic_burden::sample__parser_v4_insertion_count,>0,0,False
1,parser_semantic_burden::sample__parser_v4_duplication_candidate_count,>0,0,False
1,parser_semantic_burden::sample__parser_v4_range_replacement_count,>0,79,True
1,parser_semantic_burden::sample__parser_v4_range_stop_count,>0,44,True
1,parser_semantic_burden::sample__parser_v4_range_no_change_count,>0,38,True
1,parser_semantic_burden::sample__parser_v4_unresolved_count,>0,119,True
1,parser_semantic_burden::sample__parser_v4_complete_parse_count,>0,4867,True
1,parser_semantic_burden::sample__parser_v4_partial_parse_count,>0,2624,True
2,mutation_burden,<=q10,542,True
2,mutation_burden,q10-q90,3929,True
2,mutation_burden,>q90,490,True
2,all_wt_low_mutation,all_wt,77,True
2,all_wt_low_mutation,1-4,654,True
2,all_wt_low_mutation,>=5,4230,True
2,missingness,==0,4961,False
2,missingness,>0,0,False
2,complex_unresolved,==0,4834,True
2,complex_unresolved,>0,127,True
2,nonstandard_notation,==0,4837,True
2,nonstandard_notation,>0,124,True
2,parser_semantic_burden::sample__parser_v4_total_token_count,>0,4884,True
2,parser_semantic_burden::sample__parser_v4_missense_count,>0,4817,True
2,parser_semantic_burden::sample__parser_v4_no_change_count,>0,4217,True
2,parser_semantic_burden::sample__parser_v4_nonsense_count,>0,2634,True
2,parser_semantic_burden::sample__parser_v4_start_codon_affected_count,>0,0,False
2,parser_semantic_burden::sample__parser_v4_unknown_reference_substitution_count,>0,0,False
2,parser_semantic_burden::sample__parser_v4_nonstandard_stop_reference_count,>0,0,False
2,parser_semantic_burden::sample__parser_v4_frameshift_count,>0,2608,True
2,parser_semantic_burden::sample__parser_v4_deletion_count,>0,3,False
2,parser_semantic_burden::sample__parser_v4_delins_count,>0,0,False
2,parser_semantic_burden::sample__parser_v4_insertion_count,>0,0,False
2,parser_semantic_burden::sample__parser_v4_duplication_candidate_count,>0,0,False
2,parser_semantic_burden::sample__parser_v4_range_replacement_count,>0,78,True
2,parser_semantic_burden::sample__parser_v4_range_stop_count,>0,41,True
2,parser_semantic_burden::sample__parser_v4_range_no_change_count,>0,32,True
2,parser_semantic_burden::sample__parser_v4_unresolved_count,>0,127,True
2,parser_semantic_burden::sample__parser_v4_complete_parse_count,>0,4867,True
2,parser_semantic_burden::sample__parser_v4_partial_parse_count,>0,2609,True
3,mutation_burden,<=q10,549,True
3,mutation_burden,q10-q90,3921,True
3,mutation_burden,>q90,491,True
3,all_wt_low_mutation,all_wt,73,True
3,all_wt_low_mutation,1-4,672,True
3,all_wt_low_mutation,>=5,4216,True
3,missingness,==0,4961,False
3,missingness,>0,0,False
3,complex_unresolved,==0,4845,True
3,complex_unresolved,>0,116,True
3,nonstandard_notation,==0,4845,True
3,nonstandard_notation,>0,116,True
3,parser_semantic_burden::sample__parser_v4_total_token_count,>0,4888,True
3,parser_semantic_burden::sample__parser_v4_missense_count,>0,4816,True
3,parser_semantic_burden::sample__parser_v4_no_change_count,>0,4194,True
3,parser_semantic_burden::sample__parser_v4_nonsense_count,>0,2632,True
3,parser_semantic_burden::sample__parser_v4_start_codon_affected_count,>0,0,False
3,parser_semantic_burden::sample__parser_v4_unknown_reference_substitution_count,>0,0,False
