class,f1
THYM,0.0
KIRC,0.05765765765765766
CESC,0.09389671361502347
PAAD,0.10062893081761007
PCPG,0.13392857142857142
SARC,0.15946843853820597
PRAD,0.2087378640776699
KIPAN,0.21662468513853905
LUAD,0.2222222222222222
LUSC,0.23487544483985764
LGG,0.24480369515011546
LIHC,0.26666666666666666
TGCT,0.27884615384615385
BLCA,0.2822085889570552
HNSC,0.325
OV,0.34108527131782945
STES,0.3459915611814346
GBMLGG,0.3651804670912951
BRCA,0.42315213140398905
LAML,0.50187265917603
UCEC,0.5183098591549296
DLBC,0.5818181818181818
THCA,0.6348684210526315
COAD,0.6506550218340611
SKCM,0.6900584795321637
ACC,0.8296296296296296
