class,f1
THYM,0.0
CESC,0.044444444444444446
PAAD,0.11842105263157894
KIRC,0.1378026070763501
SARC,0.1453287197231834
LUAD,0.1510791366906475
PCPG,0.16033755274261605
PRAD,0.18925831202046037
KIPAN,0.21934369602763384
LIHC,0.2570281124497992
TGCT,0.25742574257425743
BLCA,0.275
HNSC,0.2871536523929471
STES,0.3020979020979021
LUSC,0.30564784053156147
LGG,0.33109619686800895
OV,0.34615384615384615
GBMLGG,0.37915742793791574
DLBC,0.39285714285714285
BRCA,0.3972179289026275
ACC,0.47619047619047616
LAML,0.4864864864864865
UCEC,0.5730027548209367
COAD,0.6347826086956522
THCA,0.6417657045840407
SKCM,0.6653919694072657
