class,f1
THYM,0.01834862385321101
KIRC,0.10490693739424704
PAAD,0.11612903225806452
CESC,0.12
SARC,0.14705882352941177
PCPG,0.2077922077922078
KIPAN,0.2164705882352941
LGG,0.22727272727272727
LUAD,0.23484848484848486
PRAD,0.23529411764705882
TGCT,0.2604166666666667
LIHC,0.30042918454935624
LUSC,0.3081761006289308
HNSC,0.3194103194103194
BLCA,0.3375
GBMLGG,0.35005336179295626
OV,0.3552
STES,0.3658243080625752
BRCA,0.4378585086042065
DLBC,0.44
LAML,0.5060240963855421
UCEC,0.5521126760563381
THCA,0.5947521865889213
COAD,0.6502242152466368
SKCM,0.7266187050359713
ACC,0.8270676691729323
