class,f1
THYM,0.0
PAAD,0.06802721088435375
CESC,0.10232558139534884
PCPG,0.13452914798206278
LUAD,0.1484375
SARC,0.1619718309859155
PRAD,0.16939890710382513
KIRC,0.18647166361974407
LGG,0.19553072625698323
STES,0.23802612481857766
KIPAN,0.2456778889899909
LUSC,0.24573378839590443
LIHC,0.256198347107438
TGCT,0.27184466019417475
BLCA,0.2774566473988439
HNSC,0.2936708860759494
OV,0.3431786216596343
BRCA,0.39087228560912773
DLBC,0.39285714285714285
GBMLGG,0.4294234592445328
ACC,0.43537414965986393
LAML,0.49612403100775193
SKCM,0.5433526011560693
UCEC,0.5919540229885057
COAD,0.5957446808510638
THCA,0.634315424610052
