class,f1
THYM,0.017699115044247787
KIRC,0.08275862068965517
CESC,0.10476190476190476
PAAD,0.14012738853503184
SARC,0.15942028985507245
PCPG,0.19913419913419914
LGG,0.2154566744730679
PRAD,0.22580645161290322
KIPAN,0.2313030069390902
LUAD,0.2545454545454545
TGCT,0.2731707317073171
LIHC,0.27615062761506276
LUSC,0.27936507936507937
HNSC,0.3240506329113924
BLCA,0.34146341463414637
STES,0.3469640644361834
OV,0.3610223642172524
GBMLGG,0.36401673640167365
BRCA,0.4344988344988345
LAML,0.512396694214876
DLBC,0.5283018867924528
UCEC,0.5649717514124294
THCA,0.6433333333333333
COAD,0.6532438478747203
SKCM,0.7262569832402235
ACC,0.8244274809160306
