class,f1
CESC,0.10725552050473186
THYM,0.13286713286713286
KIPAN,0.13941018766756033
PAAD,0.14342629482071714
SARC,0.19158878504672897
PCPG,0.20854700854700856
LIHC,0.2389937106918239
PRAD,0.24144144144144145
LUAD,0.2508038585209003
KIRC,0.27934621099554235
TGCT,0.2822085889570552
GBMLGG,0.2857142857142857
LUSC,0.29283489096573206
HNSC,0.3018867924528302
STES,0.32
BLCA,0.327683615819209
OV,0.3601637107776262
LAML,0.4716981132075472
DLBC,0.4838709677419355
BRCA,0.49201277955271566
LGG,0.5008347245409015
UCEC,0.5221674876847291
THCA,0.6466666666666666
COAD,0.6481876332622601
SKCM,0.684931506849315
ACC,0.8321167883211679
