class,f1
CESC,0.0761904761904762
KIRC,0.09391304347826086
PAAD,0.1566265060240964
SARC,0.17518248175182483
KIPAN,0.2511278195488722
LGG,0.2517814726840855
LUSC,0.27672955974842767
LUAD,0.27715355805243447
PCPG,0.2821576763485477
LIHC,0.2975206611570248
OV,0.30715532286212915
THYM,0.31155778894472363
PRAD,0.3135755258126195
HNSC,0.3298429319371728
TGCT,0.34951456310679613
STES,0.36941176470588233
BLCA,0.38461538461538464
GBMLGG,0.39493136219640973
BRCA,0.47839195979899496
DLBC,0.509090909090909
LAML,0.5285285285285285
UCEC,0.5674931129476584
THCA,0.6707692307692308
COAD,0.6845637583892618
SKCM,0.7431693989071039
ACC,0.8444444444444444
