feature,mean_importance,fold_occurrences
APC,0.012501576449722052,5
IRF4,0.007865336269605904,5
LRIG1,0.0068049242720007895,5
HLA-C,0.006643905863165855,5
DTX1,0.006321141694206745,5
PTEN,0.006135427672415972,5
IDH1,0.006077191419899463,5
VHL,0.006068971659988165,5
RAF1,0.006062503360832731,3
TNFAIP3,0.005668885423801839,5
PLEC,0.00528978519141674,5
sample__aa_Y__event_MT__count,0.005022849561646581,5
TM7SF2,0.0047914753668010235,1
ABCA3,0.004780887166270986,5
HNF1A,0.004740734433289618,5
BRAF,0.004705173708498478,5
NFKB2,0.004515707027167082,5
STAT3,0.0044352822471410034,5
SEMA3C,0.004426563531160355,5
BCL11B,0.004417951568029821,5
IDUA,0.004320367705076933,1
NPM1,0.004262313107028603,5
PEX6,0.003905138000845909,5
sample__aa_N__event_MT__count,0.0038935673306696116,5
TFAP2B,0.0035802999045699835,5
KRT17,0.0035293956752866507,1
ARHGEF2,0.003529138956218958,5
PRDM1,0.0034608616027981044,5
sample__aa_F__event_S__count,0.0033855602843686937,5
OGFR,0.0033716340782120823,5
MTRR,0.003105729352682829,5
SLC6A14,0.003070036554709077,5
EFHC1,0.003059840912465006,5
SLC5A5,0.003059248556382954,5
IRF8,0.0030323387356474994,5
IGSF3,0.0030287195229902865,5
CIITA,0.0029689827235415576,5
CTNNB1,0.0028764221351593733,5
ZC3H12A,0.0028472009114921095,5
sample__raw_event_count,0.0028309515211731194,5
sample__log1p_mutated_gene_count,0.002792019210755825,5
sample__log1p_raw_event_count,0.0027774565387517214,5
MAP4K3,0.0027725610532797875,5
sample__mutated_gene_count,0.0027254719519987703,5
PLK3,0.002548431744799018,1
PRKG2,0.0025384116917848585,5
CDKN2A,0.002475016633979976,5
sample__explicit_wt_gene_count,0.0024557988392189143,5
ERCC2,0.002444090647622943,5
RUNX1,0.002398930862545967,5
NCOA3,0.002356767846504226,5
SPAG5,0.0023225505952723323,5
FGFR3,0.0022745166905224325,5
PIK3CA,0.0022363339783623816,5
MEFV,0.0022268627886660396,5
KIT,0.0022054184693843125,5
KMT2D,0.0021974135772325097,5
PINK1,0.002196644665673375,1
PTPRG,0.002191932359710336,5
CXCR4,0.0021619342733174562,1
TP53,0.002158023207448423,5
KRT8,0.002151361491996795,4
sample__aa_event_count_sum,0.002140398370102048,5
MYH10,0.002139461087062955,5
NCOR2,0.002122021629475057,5
CDH3,0.0020531296147964897,5
RPS6KA1,0.0020454487297683955,5
SPOP,0.0020003637066110967,5
NDUFS1,0.0019938043551519513,4
SLC27A5,0.00198448886803817,5
CRMP1,0.0019362797494977713,5
sample__aa_W__event_FS__count,0.0018977463943883777,5
IKBKB,0.0018625639495439827,5
ERCC5,0.0018594375927932561,5
NEFH,0.0018405563663691283,5
MAP1S,0.0018353538354858756,5
sample__aa_A__event_MT__count,0.0018258391297422349,5
RPL22,0.001808973456112047,3
PCDH1,0.0018087766540702433,5
EGR1,0.00180836723302491,4
sample__aa_K__event_MT__count,0.0018047181190922856,5
ALOX15,0.001803797281657656,3
sample__aa_P__event_M__count,0.0017992699751630426,5
sample__aa_E__event_MT__count,0.0017739355331286787,5
CCP110,0.0017503034032415599,4
CTTN,0.0017468573350924999,4
MTMR10,0.0017409828724339604,3
RYR2,0.0017357992706820368,5
EGFR,0.0017041444312781095,5
NOTCH1,0.0016934880753979088,5
RAP1GAP,0.0016909906407818198,3
sample__aa_E__event_M__count,0.0016702291206456721,5
AMOT,0.001654703402891755,5
PLEK,0.001636044413316995,5
GPD2,0.0016319507267326117,1
NEDD4,0.0016301495721563696,5
PLK4,0.0016258375311736018,5
sample__aa_C__event_MT__count,0.0016081003414001316,5
STRN,0.001593103213235736,5
sample__aa_Q__event_MT__count,0.0015814140904694795,5
sample__event_M__count,0.0015800324268639087,5
IDH2,0.0015605219872668386,5
PTCD3,0.0015533961122855544,2
ATRX,0.0015473774168640376,5
TLR2,0.001545214734505862,5
TRIM33,0.00153732483740896,5
CYP4A22,0.0015319952042773366,5
CELSR1,0.001531322649680078,5
FLT4,0.0015223094378598034,5
MAGI2,0.0015155472443439066,5
DNTTIP2,0.001509931916370988,5
LAMA3,0.0015019423211924733,5
CHST2,0.0014959841209929436,4
ACSL1,0.0014780557248741388,3
CTCF,0.0014736501616425812,5
NLRP3,0.0014729784452356398,5
GAA,0.001472935825586319,5
KAT2B,0.0014689447823911905,5
FBXW7,0.0014680515276268124,5
HLA-A,0.0014610294252634048,5
DBF4,0.001456069410778582,1
RNF123,0.0014545620419085027,5
MYO1E,0.001454068039311096,5
sample__event_M__one_gene_count,0.0014522403012961148,5
JAG2,0.001450981543166563,5
sample__aa_C__event_ST__count,0.0014360929140821098,5
TYRO3,0.001421753503382206,5
FBLN2,0.0014102478278800845,5
sample__aa_D__event_MT__count,0.0014075159677304327,5
PLXNB2,0.0014002003008499742,5
ELF3,0.0013943893369287252,5
GNAS,0.0013799154781736433,5
WIZ,0.0013750174548476934,5
HRAS,0.0013666637474671005,5
NFE2L2,0.001364440913312137,5
ALB,0.0013525369227863847,5
SPTAN1,0.0013504535658285023,5
CHEK2,0.0013466174597851932,5
MFSD6,0.0013433553627692162,5
sample__event_S__capped_digit,0.001342952298000455,5
STC2,0.001339551410637796,1
COL3A1,0.001337909500580281,5
sample__aa_R__event_M__count,0.0013139527989551425,5
AMBN,0.0013084916514344513,5
PLPPR4,0.001302025723271072,5
MYOF,0.0012819994473829866,5
CDH2,0.0012785958591848613,5
LTBP1,0.001272899261675775,5
KRT13,0.0012719508376903832,5
GATA1,0.0012672380544245243,4
FGD4,0.001265670859720558,5
sample__event_S__count,0.0012627914315089584,5
RB1,0.0012614957289770246,5
ACO2,0.0012610037811100483,2
TRIM29,0.001258112129289657,5
sample__event_MT__multi_gene_count,0.0012565068085677923,5
PARP12,0.0012533177156001329,5
sample__aa_K__event_ST__count,0.0012464370112866164,5
LLGL2,0.0012408470618538558,5
sample__aa_A__event_M__count,0.001240533171221614,5
CASP8,0.0012382245040498674,5
IL6ST,0.0012354849139228463,5
PPP2R2C,0.0012353733996860682,5
POLR2A,0.0012340611778199674,5
PAN2,0.0012316126842051745,5
DLC1,0.0012238134047947824,5
sample__event_MT__count,0.0012230839813128114,5
HSP90B1,0.0012216749601066113,1
ADAMTS1,0.0012153527117334307,5
sample__aa_S__event_ST__count,0.0012116725440137089,5
sample__aa_L__event_S__count,0.0012111946824006736,5
NCAPD2,0.0012093494995497167,5
ATXN1,0.0012077624443918467,5
RASA1,0.0012052975944243371,5
COL8A2,0.001193675328977406,1
sample__aa_Q__event_M__count,0.001191782613750547,5
CDH1,0.0011871878756210207,5
COL5A2,0.0011870044050738215,5
SMOX,0.0011857590405270457,5
HLA-B,0.0011854994925670325,5
sample__aa_event_count_max,0.0011827886337414384,5
FASN,0.0011776724015362561,5
PRKCH,0.0011775599326938392,5
ABLIM1,0.001173064881004393,5
RBM5,0.0011706944787874818,3
sample__event_ST__count,0.0011694642715156078,5
ACTB,0.0011670401436276734,2
ERBB3,0.0011642282828688622,5
sample__aa_Y__event_M__count,0.0011610308662056922,5
VWF,0.0011589764559175818,5
PKD1,0.0011584125109948217,5
ARID5B,0.0011577929719351232,5
SOX9,0.0011521743144840002,1
PRC1,0.0011457130778580904,5
sample__event_FS__one_gene_count,0.0011443855590187013,5
GDA,0.0011412390042096377,5
WRN,0.0011394111439585685,5
sample__event_FS__count,0.0011359360185451805,5
HSD17B4,0.0011232089600525796,5
FAM120A,0.0011179789900779725,5
PGR,0.0011176730389706791,5
sample__aa_G__event_M__count,0.0011175387189723551,5
sample__event_S__one_gene_count,0.001110908924601972,5
SLIT2,0.0011107477243058384,5
PIKFYVE,0.0011097084847278894,5
sample__aa_E__event_ST__count,0.0011090701213106514,5
ADAM23,0.0011078058159910142,5
GP2,0.0011071627493947744,5
sample__event_ST__capped_digit,0.0011033486807718873,5
ZC3H14,0.0010961441439576447,3
LDB3,0.0010904466500505805,5
MYH2,0.0010868074896279722,5
GABBR1,0.001082790014334023,5
F8,0.0010766587918624281,5
DST,0.0010750194545835257,5
IGF1R,0.0010703479638323188,5
sample__aa_H__event_FS__count,0.0010703174804802984,5
COL6A2,0.001065526867751032,5
KRT1,0.0010628943680785596,5
CREBBP,0.0010607111908029765,5
PARP14,0.001060280145611614,5
TACC3,0.0010590416961349547,5
sample__aa_G__event_ST__count,0.0010531970649026335,5
EPHA5,0.0010486373794265091,5
sample__weighted_event_digit_code,0.0010481037199497223,5
AXIN1,0.0010463370359502732,5
SLC4A1,0.0010449481080286205,5
sample__event_ST__one_gene_count,0.0010441435617394746,5
DSC2,0.0010438144207000732,5
sample__event_M__capped_digit,0.0010417861863970756,5
EPHA2,0.0010403136897366495,5
